filename;y_true;y_pred;y_pred_prob;Precision;Recall;F1-Score;TN;FP;FN;TP
clear,0000,jpg;1;0;0,2688711;0,0;0,0;0,0;0;0;1;0
clear,0001,jpg;1;1;0,9174903;1,0;1,0;1,0;0;0;0;0
clear,0002,jpg;1;1;0,91699207;1,0;1,0;1,0;0;0;0;0
clear,0003,jpg;1;0;0,2908464;0,0;0,0;0,0;0;0;1;0
clear,0004,jpg;1;0;0,024357032;0,0;0,0;0,0;0;0;1;0
clear,0005,jpg;1;1;0,98953587;1,0;1,0;1,0;0;0;0;0
clear,0006,jpg;1;1;0,92781377;1,0;1,0;1,0;0;0;0;0
clear,0007,jpg;1;1;0,86543506;1,0;1,0;1,0;0;0;0;0
clear,0008,jpg;1;1;0,7873008;1,0;1,0;1,0;0;0;0;0
clear,0009,jpg;1;1;0,7695236;1,0;1,0;1,0;0;0;0;0
clear,0010,jpg;1;0;0,4515555;0,0;0,0;0,0;0;0;1;0
clear,0011,jpg;1;0;0,3555797;0,0;0,0;0,0;0;0;1;0
clear,0012,jpg;1;0;0,23897481;0,0;0,0;0,0;0;0;1;0
clear,0013,jpg;1;1;0,9669804;1,0;1,0;1,0;0;0;0;0
clear,0014,jpg;1;1;0,6677933;1,0;1,0;1,0;0;0;0;0
clear,0015,jpg;1;0;0,055116024;0,0;0,0;0,0;0;0;1;0
clear,0016,jpg;1;0;0,4859713;0,0;0,0;0,0;0;0;1;0
clear,0017,jpg;1;1;0,99765927;1,0;1,0;1,0;0;0;0;0
clear,0018,jpg;1;1;0,95154613;1,0;1,0;1,0;0;0;0;0
clear,0019,jpg;1;1;0,828886;1,0;1,0;1,0;0;0;0;0
clear,0020,jpg;1;1;0,9914756;1,0;1,0;1,0;0;0;0;0
clear,0021,jpg;1;1;0,98066556;1,0;1,0;1,0;0;0;0;0
clear,0022,jpg;1;1;0,92078334;1,0;1,0;1,0;0;0;0;0
clear,0023,jpg;1;1;0,90228903;1,0;1,0;1,0;0;0;0;0
clear,0024,jpg;1;1;0,959549;1,0;1,0;1,0;0;0;0;0
clear,0025,jpg;1;0;0,3093981;0,0;0,0;0,0;0;0;1;0
clear,0026,jpg;1;1;0,999953;1,0;1,0;1,0;0;0;0;0
clear,0027,jpg;1;1;0,94346285;1,0;1,0;1,0;0;0;0;0
clear,0028,jpg;1;1;0,8973708;1,0;1,0;1,0;0;0;0;0
clear,0029,jpg;1;1;0,982467;1,0;1,0;1,0;0;0;0;0
clear,0030,jpg;1;1;0,88768154;1,0;1,0;1,0;0;0;0;0
clear,0031,jpg;1;0;0,35167414;0,0;0,0;0,0;0;0;1;0
clear,0032,jpg;1;0;0,11447284;0,0;0,0;0,0;0;0;1;0
clear,0033,jpg;1;0;3,378607e-05;0,0;0,0;0,0;0;0;1;0
clear,0034,jpg;1;1;0,99448496;1,0;1,0;1,0;0;0;0;0
clear,0035,jpg;1;1;0,8458481;1,0;1,0;1,0;0;0;0;0
clear,0036,jpg;1;1;0,88342893;1,0;1,0;1,0;0;0;0;0
clear,0037,jpg;1;1;0,99206704;1,0;1,0;1,0;0;0;0;0
clear,0038,jpg;1;1;0,8864826;1,0;1,0;1,0;0;0;0;0
clear,0039,jpg;1;1;0,9313545;1,0;1,0;1,0;0;0;0;0
clear,0040,jpg;1;1;0,9620823;1,0;1,0;1,0;0;0;0;0
clear,0041,jpg;1;1;0,99276364;1,0;1,0;1,0;0;0;0;0
clear,0042,jpg;1;0;0,13845147;0,0;0,0;0,0;0;0;1;0
clear,0043,jpg;1;0;0,45030302;0,0;0,0;0,0;0;0;1;0
clear,0044,jpg;1;1;0,95235527;1,0;1,0;1,0;0;0;0;0
clear,0045,jpg;1;1;0,81807816;1,0;1,0;1,0;0;0;0;0
clear,0046,jpg;1;1;0,9999846;1,0;1,0;1,0;0;0;0;0
