2025-02-14 09:34:40 - Arquivo: clear.004.jpg | Prob: 0.2425 | Threshold: 0.9000
2025-02-14 09:35:27 - Arquivo: clear.015.jpg | Prob: 0.0143 | Threshold: 0.9000
2025-02-14 09:36:37 - Arquivo: clear.031.jpg | Prob: 0.0169 | Threshold: 0.9000
2025-02-14 09:36:41 - Arquivo: clear.032.jpg | Prob: 0.3047 | Threshold: 0.9000
2025-02-14 09:38:01 - Arquivo: clear.051.jpg | Prob: 0.0022 | Threshold: 0.9000
2025-02-14 09:38:53 - Arquivo: clear.063.jpg | Prob: 0.1128 | Threshold: 0.9000
2025-02-14 09:39:18 - Arquivo: clear.069.jpg | Prob: 0.0878 | Threshold: 0.9000
2025-02-14 09:39:48 - Arquivo: clear.076.jpg | Prob: 0.3012 | Threshold: 0.9000
2025-02-14 09:40:01 - Arquivo: clear.079.jpg | Prob: 0.3887 | Threshold: 0.9000
2025-02-14 09:40:41 - Arquivo: clear.088.jpg | Prob: 0.0788 | Threshold: 0.9000
2025-02-14 09:42:22 - Arquivo: clear.111.jpg | Prob: 0.3664 | Threshold: 0.9000
2025-02-14 09:43:17 - Arquivo: clear.124.jpg | Prob: 0.1946 | Threshold: 0.9000
2025-02-14 09:43:55 - Arquivo: clear.133.jpg | Prob: 0.0793 | Threshold: 0.9000
2025-02-14 09:44:07 - Arquivo: clear.136.jpg | Prob: 0.0502 | Threshold: 0.9000
2025-02-14 09:45:57 - Arquivo: clear.162.jpg | Prob: 0.0844 | Threshold: 0.9000
2025-02-14 09:46:53 - Arquivo: nonclear.000.jpg | Prob: 0.0002 | Threshold: 0.9000
2025-02-14 09:46:57 - Arquivo: nonclear.001.jpg | Prob: 0.0009 | Threshold: 0.9000
2025-02-14 09:47:01 - Arquivo: nonclear.002.jpg | Prob: 0.0000 | Threshold: 0.9000
2025-02-14 09:47:05 - Arquivo: nonclear.003.jpg | Prob: 0.0000 | Threshold: 0.9000
2025-02-14 09:47:10 - Arquivo: nonclear.004.jpg | Prob: 0.0000 | Threshold: 0.9000
2025-02-14 09:47:14 - Arquivo: nonclear.005.jpg | Prob: 0.0000 | Threshold: 0.9000
2025-02-14 09:47:18 - Arquivo: nonclear.006.jpg | Prob: 0.0000 | Threshold: 0.9000
2025-02-14 09:47:22 - Arquivo: nonclear.007.jpg | Prob: 0.0034 | Threshold: 0.9000
2025-02-14 09:47:26 - Arquivo: nonclear.008.jpg | Prob: 0.0295 | Threshold: 0.9000
2025-02-14 09:47:30 - Arquivo: nonclear.009.jpg | Prob: 0.0001 | Threshold: 0.9000
2025-02-14 09:47:35 - Arquivo: nonclear.010.jpg | Prob: 0.0005 | Threshold: 0.9000
2025-02-14 09:47:39 - Arquivo: nonclear.011.jpg | Prob: 0.3616 | Threshold: 0.9000
2025-02-14 09:47:43 - Arquivo: nonclear.012.jpg | Prob: 0.0027 | Threshold: 0.9000
