Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Training_Accuracy,Training_Val_Accuracy,Training_Loss,Training_Val_Loss,Training_F1,Training_Val_F1,Training_AUC,Training_Val_AUC,Training_Precision,Training_Val_Precision,Training_Recall,Training_Val_Recall,Training_Specificity,Training_Val_Specificity,Training_TN,Training_FP,Training_FN,Training_TP
0.9006,0.875,0.9579,0.8289,0.9146,0.9575,4,1,0.9006,0.9005848169326782,0.780282735824585,0.2627835273742676,0.9146,,0.9575,,0.875,,0.9579,,0.8289,,63,13,4,91
0.9123,0.9082,0.9368,0.8816,0.9223,0.96,4,2,0.9123,0.9122806787490845,0.2830216586589813,0.2365066558122635,0.9223,,0.96,,0.9082,,0.9368,,0.8816,,67,9,6,89
0.8889,0.8333,1.0,0.75,0.9091,0.9647,4,3,0.8889,0.8888888955116272,0.19973619282245636,0.3179979920387268,0.9091,,0.9647,,0.8333,,1.0,,0.75,,57,19,0,95
0.9181,0.8785,0.9895,0.8289,0.9307,0.9686,4,4,0.9181,0.9181286692619324,0.1454436182975769,0.27892476320266724,0.9307,,0.9686,,0.8785,,0.9895,,0.8289,,63,13,1,94
0.9181,0.9355,0.9158,0.9211,0.9255,0.9597,4,5,0.9181,0.9181286692619324,0.17133092880249023,0.2462095320224762,0.9255,,0.9597,,0.9355,,0.9158,,0.9211,,70,6,8,87
0.924,0.91,0.9579,0.8816,0.9333,0.9709,4,6,0.924,0.9239766001701355,0.06506067514419556,0.25925174355506897,0.9333,,0.9709,,0.91,,0.9579,,0.8816,,67,9,4,91
0.924,0.91,0.9579,0.8816,0.9333,0.9663,4,7,0.924,0.9239766001701355,0.15727734565734863,0.27139949798583984,0.9333,,0.9663,,0.91,,0.9579,,0.8816,,67,9,4,91
0.924,0.91,0.9579,0.8816,0.9333,0.9623,4,8,0.924,0.9239766001701355,0.05465064197778702,0.3007054924964905,0.9333,,0.9623,,0.91,,0.9579,,0.8816,,67,9,4,91
0.924,0.902,0.9684,0.8684,0.934,0.9634,4,9,0.924,0.9239766001701355,0.03651410713791847,0.3425758183002472,0.934,,0.9634,,0.902,,0.9684,,0.8684,,66,10,3,92
0.9357,0.9038,0.9895,0.8684,0.9447,0.9565,4,10,0.9357,0.9356725215911865,0.15105262398719788,0.2614564001560211,0.9447,,0.9565,,0.9038,,0.9895,,0.8684,,66,10,1,94
0.9298,0.9192,0.9579,0.8947,0.9381,0.9637,4,11,0.9298,0.9298245906829834,0.01971786841750145,0.3361758291721344,0.9381,,0.9637,,0.9192,,0.9579,,0.8947,,68,8,4,91
0.9415,0.9208,0.9789,0.8947,0.949,0.9634,4,12,0.9415,0.9415204524993896,0.013481924310326576,0.3698015511035919,0.949,,0.9634,,0.9208,,0.9789,,0.8947,,68,8,2,93
0.9415,0.9293,0.9684,0.9079,0.9485,0.9661,4,13,0.9415,0.9415204524993896,0.009660856798291206,0.3824097514152527,0.9485,,0.9661,,0.9293,,0.9684,,0.9079,,69,7,3,92
0.9415,0.9293,0.9684,0.9079,0.9485,0.9663,4,14,0.9415,0.9415204524993896,0.008248932659626007,0.39770469069480896,0.9485,,0.9663,,0.9293,,0.9684,,0.9079,,69,7,3,92
0.9415,0.9293,0.9684,0.9079,0.9485,0.9657,4,15,0.9415,0.9415204524993896,0.008480279706418514,0.41823405027389526,0.9485,,0.9657,,0.9293,,0.9684,,0.9079,,69,7,3,92
0.9357,0.9286,0.9579,0.9079,0.943,0.965,4,16,0.9357,0.9356725215911865,0.007517671212553978,0.42533910274505615,0.943,,0.965,,0.9286,,0.9579,,0.9079,,69,7,4,91
0.9357,0.9286,0.9579,0.9079,0.943,0.9656,4,17,0.9357,0.9356725215911865,0.007211780175566673,0.4340352416038513,0.943,,0.9656,,0.9286,,0.9579,,0.9079,,69,7,4,91
0.9298,0.9278,0.9474,0.9079,0.9375,0.9648,4,18,0.9298,0.9298245906829834,0.006213400978595018,0.44558635354042053,0.9375,,0.9648,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9415,0.9293,0.9684,0.9079,0.9485,0.9646,4,19,0.9415,0.9415204524993896,0.006080204620957375,0.4653532803058624,0.9485,,0.9646,,0.9293,,0.9684,,0.9079,,69,7,3,92
0.9298,0.9278,0.9474,0.9079,0.9375,0.9652,4,20,0.9298,0.9298245906829834,0.005968459881842136,0.46221762895584106,0.9375,,0.9652,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9658,4,21,0.9298,0.9298245906829834,0.005876947659999132,0.4731946885585785,0.9375,,0.9658,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9357,0.9375,0.9474,0.9211,0.9424,0.965,4,22,0.9357,0.9356725215911865,0.005552517715841532,0.4755716919898987,0.9424,,0.965,,0.9375,,0.9474,,0.9211,,70,6,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9657,4,23,0.9298,0.9298245906829834,0.005219799466431141,0.48355531692504883,0.9375,,0.9657,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9655,4,24,0.9298,0.9298245906829834,0.004924336913973093,0.4906162917613983,0.9375,,0.9655,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9655,4,25,0.9298,0.9298245906829834,0.005144121125340462,0.4966306686401367,0.9375,,0.9655,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9654,4,26,0.9298,0.9298245906829834,0.005225364584475756,0.5025792121887207,0.9375,,0.9654,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9357,0.9375,0.9474,0.9211,0.9424,0.9652,4,27,0.9357,0.9356725215911865,0.004986155778169632,0.5082244873046875,0.9424,,0.9652,,0.9375,,0.9474,,0.9211,,70,6,5,90
0.9357,0.9375,0.9474,0.9211,0.9424,0.9654,4,28,0.9357,0.9356725215911865,0.005107098259031773,0.5118827223777771,0.9424,,0.9654,,0.9375,,0.9474,,0.9211,,70,6,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9651,4,29,0.9298,0.9298245906829834,0.004942832514643669,0.51453697681427,0.9375,,0.9651,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9648,4,30,0.9298,0.9298245906829834,0.004858068656176329,0.5189747214317322,0.9375,,0.9648,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9652,4,31,0.9298,0.9298245906829834,0.005028558429330587,0.5236213803291321,0.9375,,0.9652,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9658,4,32,0.9298,0.9298245906829834,0.004978185053914785,0.5247897505760193,0.9375,,0.9658,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9654,4,33,0.9298,0.9298245906829834,0.004755390342324972,0.52634197473526,0.9375,,0.9654,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9651,4,34,0.9298,0.9298245906829834,0.0047658514231443405,0.5283571481704712,0.9375,,0.9651,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9653,4,35,0.9298,0.9298245906829834,0.004718067590147257,0.5300713181495667,0.9375,,0.9653,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9654,4,36,0.9298,0.9298245906829834,0.004780034068971872,0.5326752066612244,0.9375,,0.9654,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9654,4,37,0.9298,0.9298245906829834,0.004701850935816765,0.5350988507270813,0.9375,,0.9654,,0.9278,,0.9474,,0.9079,,69,7,5,90
