2025-02-22 08:46:28 - Arquivo: clear.0004.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-22 08:56:40 - Arquivo: clear.0031.jpg | Prob: 0.0152 | Threshold: 0.6000
2025-02-22 08:57:32 - Arquivo: clear.0033.jpg | Prob: 0.1680 | Threshold: 0.6000
2025-02-22 09:04:46 - Arquivo: clear.0051.jpg | Prob: 0.0091 | Threshold: 0.6000
2025-02-22 09:11:21 - Arquivo: clear.0069.jpg | Prob: 0.0096 | Threshold: 0.6000
2025-02-22 09:14:55 - Arquivo: clear.0079.jpg | Prob: 0.2013 | Threshold: 0.6000
2025-02-22 09:18:03 - Arquivo: clear.0088.jpg | Prob: 0.0697 | Threshold: 0.6000
2025-02-22 09:24:24 - Arquivo: clear.0106.jpg | Prob: 0.0692 | Threshold: 0.6000
2025-02-22 09:36:18 - Arquivo: clear.0136.jpg | Prob: 0.1350 | Threshold: 0.6000
2025-02-22 09:37:27 - Arquivo: clear.0139.jpg | Prob: 0.0189 | Threshold: 0.6000
2025-02-22 09:47:09 - Arquivo: clear.0162.jpg | Prob: 0.0032 | Threshold: 0.6000
2025-02-22 09:53:52 - Arquivo: clear.0180.jpg | Prob: 0.3726 | Threshold: 0.6000
2025-02-22 09:56:46 - Arquivo: clear.0188.jpg | Prob: 0.0732 | Threshold: 0.6000
2025-02-22 09:57:17 - Arquivo: clear.0189.jpg | Prob: 0.0125 | Threshold: 0.6000
2025-02-22 10:36:15 - Arquivo: clear.0272.jpeg | Prob: 0.0189 | Threshold: 0.6000
2025-02-22 11:19:05 - Arquivo: clear.0376.jpeg | Prob: 0.0001 | Threshold: 0.6000
2025-02-22 11:19:24 - Arquivo: clear.0377.jpeg | Prob: 0.0435 | Threshold: 0.6000
2025-02-22 11:20:08 - Arquivo: clear.0379.jpeg | Prob: 0.1104 | Threshold: 0.6000
2025-02-22 11:36:47 - Arquivo: clear.0420.jpg | Prob: 0.1521 | Threshold: 0.6000
2025-02-22 11:40:16 - Arquivo: clear.0428.jpg | Prob: 0.0426 | Threshold: 0.6000
2025-02-22 11:42:51 - Arquivo: clear.0435.jpg | Prob: 0.0017 | Threshold: 0.6000
2025-02-22 11:43:12 - Arquivo: clear.0436.jpg | Prob: 0.0008 | Threshold: 0.6000
2025-02-22 11:51:28 - Arquivo: clear.0457.jpg | Prob: 0.1736 | Threshold: 0.6000
2025-02-22 12:04:33 - Arquivo: clear.0489.jpg | Prob: 0.0227 | Threshold: 0.6000
2025-02-22 12:07:01 - Arquivo: clear.0496.jpg | Prob: 0.2325 | Threshold: 0.6000
2025-02-22 12:12:51 - Arquivo: clear.0510.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-22 12:30:46 - Arquivo: clear.0556.jpg | Prob: 0.2985 | Threshold: 0.6000
2025-02-22 12:50:00 - Arquivo: clear.0603.jpg | Prob: 0.0796 | Threshold: 0.6000
2025-02-22 12:56:14 - Arquivo: clear.0617.jpg | Prob: 0.0062 | Threshold: 0.6000
2025-02-22 13:20:11 - Arquivo: clear.0675.jpg | Prob: 0.0663 | Threshold: 0.6000
2025-02-22 13:20:37 - Arquivo: clear.0676.jpg | Prob: 0.1049 | Threshold: 0.6000
2025-02-22 13:32:33 - Arquivo: clear.0706.jpg | Prob: 0.3325 | Threshold: 0.6000
2025-02-22 14:02:28 - Arquivo: clear.0780.jpg | Prob: 0.0122 | Threshold: 0.6000
2025-02-22 14:25:31 - Arquivo: clear.0834.jpg | Prob: 0.0119 | Threshold: 0.6000
