2025-02-18 23:14:26 - Arquivo: clear.0004.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 23:18:04 - Arquivo: clear.0014.jpg | Prob: 0.3172 | Threshold: 0.6000
2025-02-18 23:24:50 - Arquivo: clear.0033.jpg | Prob: 0.0541 | Threshold: 0.6000
2025-02-18 23:32:24 - Arquivo: clear.0055.jpg | Prob: 0.0377 | Threshold: 0.6000
2025-02-18 23:35:13 - Arquivo: clear.0063.jpg | Prob: 0.0201 | Threshold: 0.6000
2025-02-18 23:55:26 - Arquivo: clear.0122.jpg | Prob: 0.3136 | Threshold: 0.6000
2025-02-19 00:01:09 - Arquivo: clear.0139.jpg | Prob: 0.0866 | Threshold: 0.6000
2025-02-19 00:06:16 - Arquivo: clear.0154.jpg | Prob: 0.0471 | Threshold: 0.6000
2025-02-19 00:09:06 - Arquivo: clear.0162.jpg | Prob: 0.2351 | Threshold: 0.6000
2025-02-19 00:13:39 - Arquivo: clear.0175.jpg | Prob: 0.0533 | Threshold: 0.6000
2025-02-19 00:15:02 - Arquivo: clear.0179.jpg | Prob: 0.0458 | Threshold: 0.6000
2025-02-19 00:17:41 - Arquivo: clear.0187.jpg | Prob: 0.3009 | Threshold: 0.6000
2025-02-19 00:18:01 - Arquivo: clear.0188.jpg | Prob: 0.1658 | Threshold: 0.6000
2025-02-19 00:18:20 - Arquivo: clear.0189.jpg | Prob: 0.2791 | Threshold: 0.6000
2025-02-19 00:18:38 - Arquivo: clear.0190.jpg | Prob: 0.3219 | Threshold: 0.6000
2025-02-19 00:48:24 - Arquivo: clear.0277.jpeg | Prob: 0.1562 | Threshold: 0.6000
2025-02-19 01:03:01 - Arquivo: clear.0317.jpeg | Prob: 0.2774 | Threshold: 0.6000
2025-02-19 01:05:07 - Arquivo: clear.0323.jpeg | Prob: 0.2847 | Threshold: 0.6000
2025-02-19 01:23:21 - Arquivo: clear.0376.jpeg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 01:23:40 - Arquivo: clear.0377.jpeg | Prob: 0.0137 | Threshold: 0.6000
2025-02-19 01:24:36 - Arquivo: clear.0379.jpeg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 01:39:50 - Arquivo: clear.0423.jpg | Prob: 0.2987 | Threshold: 0.6000
2025-02-19 01:41:30 - Arquivo: clear.0428.jpg | Prob: 0.0171 | Threshold: 0.6000
2025-02-19 01:44:20 - Arquivo: clear.0435.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-19 01:44:40 - Arquivo: clear.0436.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-19 01:56:06 - Arquivo: clear.0468.jpg | Prob: 0.0135 | Threshold: 0.6000
2025-02-19 01:59:59 - Arquivo: clear.0478.jpg | Prob: 0.1113 | Threshold: 0.6000
2025-02-19 02:03:56 - Arquivo: clear.0489.jpg | Prob: 0.2780 | Threshold: 0.6000
2025-02-19 03:07:20 - Arquivo: clear.0665.jpg | Prob: 0.2980 | Threshold: 0.6000
2025-02-19 03:11:26 - Arquivo: clear.0677.jpg | Prob: 0.1017 | Threshold: 0.6000
2025-02-19 03:28:01 - Arquivo: clear.0722.jpg | Prob: 0.2022 | Threshold: 0.6000
2025-02-19 03:50:43 - Arquivo: clear.0779.jpg | Prob: 0.3230 | Threshold: 0.6000
2025-02-19 03:51:06 - Arquivo: clear.0780.jpg | Prob: 0.0188 | Threshold: 0.6000
2025-02-19 04:11:09 - Arquivo: clear.0834.jpg | Prob: 0.0123 | Threshold: 0.6000
2025-02-19 04:16:19 - Arquivo: clear.0848.jpg | Prob: 0.0150 | Threshold: 0.6000
2025-02-19 04:16:39 - Arquivo: clear.0849.jpg | Prob: 0.0592 | Threshold: 0.6000
2025-02-19 04:17:42 - Arquivo: clear.0852.jpg | Prob: 0.2243 | Threshold: 0.6000
2025-02-19 04:25:14 - Arquivo: clear.0873.jpg | Prob: 0.2558 | Threshold: 0.6000
2025-02-19 04:41:24 - Arquivo: clear.0913.jpg | Prob: 0.0912 | Threshold: 0.6000
2025-02-19 04:45:40 - Arquivo: clear.0924.jpg | Prob: 0.0661 | Threshold: 0.6000
2025-02-19 04:48:24 - Arquivo: clear.0931.jpg | Prob: 0.0060 | Threshold: 0.6000
2025-02-19 04:48:45 - Arquivo: clear.0932.jpg | Prob: 0.0119 | Threshold: 0.6000
2025-02-19 04:49:22 - Arquivo: clear.0933.jpg | Prob: 0.0172 | Threshold: 0.6000
2025-02-19 04:50:04 - Arquivo: clear.0935.jpg | Prob: 0.0140 | Threshold: 0.6000
2025-02-19 04:54:54 - Arquivo: clear.0946.jpg | Prob: 0.0020 | Threshold: 0.6000
2025-02-19 04:56:25 - Arquivo: clear.0950.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 04:56:49 - Arquivo: clear.0951.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 05:17:33 - Arquivo: clear.1005.jpg | Prob: 0.0249 | Threshold: 0.6000
2025-02-19 05:21:01 - Arquivo: clear.1014.jpg | Prob: 0.3460 | Threshold: 0.6000
2025-02-19 05:23:07 - Arquivo: nonclear.0000.jpg | Prob: 0.0638 | Threshold: 0.6000
2025-02-19 05:23:30 - Arquivo: nonclear.0001.jpg | Prob: 0.0740 | Threshold: 0.6000
2025-02-19 05:24:04 - Arquivo: nonclear.0002.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 05:24:34 - Arquivo: nonclear.0003.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 05:24:53 - Arquivo: nonclear.0004.jpg | Prob: 0.1623 | Threshold: 0.6000
2025-02-19 05:25:16 - Arquivo: nonclear.0005.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 05:25:39 - Arquivo: nonclear.0006.jpg | Prob: 0.0000 | Threshold: 0.6000
