2025-02-19 13:53:31 - Arquivo: clear.0004.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 14:05:29 - Arquivo: clear.0031.jpg | Prob: 0.0152 | Threshold: 0.6000
2025-02-19 14:06:30 - Arquivo: clear.0033.jpg | Prob: 0.1680 | Threshold: 0.6000
2025-02-19 14:15:07 - Arquivo: clear.0051.jpg | Prob: 0.0091 | Threshold: 0.6000
2025-02-19 14:22:58 - Arquivo: clear.0069.jpg | Prob: 0.0096 | Threshold: 0.6000
2025-02-19 14:27:11 - Arquivo: clear.0079.jpg | Prob: 0.2013 | Threshold: 0.6000
2025-02-19 14:30:52 - Arquivo: clear.0088.jpg | Prob: 0.0697 | Threshold: 0.6000
2025-02-19 14:38:19 - Arquivo: clear.0106.jpg | Prob: 0.0692 | Threshold: 0.6000
2025-02-19 14:52:20 - Arquivo: clear.0136.jpg | Prob: 0.1350 | Threshold: 0.6000
2025-02-19 14:53:40 - Arquivo: clear.0139.jpg | Prob: 0.0189 | Threshold: 0.6000
2025-02-19 15:04:47 - Arquivo: clear.0162.jpg | Prob: 0.0032 | Threshold: 0.6000
2025-02-19 15:15:36 - Arquivo: clear.0188.jpg | Prob: 0.0732 | Threshold: 0.6000
2025-02-19 15:16:10 - Arquivo: clear.0189.jpg | Prob: 0.0125 | Threshold: 0.6000
2025-02-19 15:54:56 - Arquivo: clear.0272.jpeg | Prob: 0.0189 | Threshold: 0.6000
2025-02-19 16:33:40 - Arquivo: clear.0376.jpeg | Prob: 0.0001 | Threshold: 0.6000
2025-02-19 16:33:57 - Arquivo: clear.0377.jpeg | Prob: 0.0435 | Threshold: 0.6000
2025-02-19 16:34:36 - Arquivo: clear.0379.jpeg | Prob: 0.1104 | Threshold: 0.6000
2025-02-19 16:50:32 - Arquivo: clear.0420.jpg | Prob: 0.1521 | Threshold: 0.6000
2025-02-19 16:53:46 - Arquivo: clear.0428.jpg | Prob: 0.0426 | Threshold: 0.6000
2025-02-19 16:56:30 - Arquivo: clear.0435.jpg | Prob: 0.0017 | Threshold: 0.6000
2025-02-19 16:56:53 - Arquivo: clear.0436.jpg | Prob: 0.0008 | Threshold: 0.6000
2025-02-19 17:05:45 - Arquivo: clear.0457.jpg | Prob: 0.1736 | Threshold: 0.6000
2025-02-19 17:19:40 - Arquivo: clear.0489.jpg | Prob: 0.0227 | Threshold: 0.6000
2025-02-19 17:22:15 - Arquivo: clear.0496.jpg | Prob: 0.2325 | Threshold: 0.6000
2025-02-19 17:28:26 - Arquivo: clear.0510.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-19 17:47:26 - Arquivo: clear.0556.jpg | Prob: 0.2985 | Threshold: 0.6000
2025-02-19 18:07:34 - Arquivo: clear.0603.jpg | Prob: 0.0796 | Threshold: 0.6000
2025-02-19 18:14:08 - Arquivo: clear.0617.jpg | Prob: 0.0062 | Threshold: 0.6000
2025-02-19 18:39:20 - Arquivo: clear.0675.jpg | Prob: 0.0663 | Threshold: 0.6000
2025-02-19 18:39:47 - Arquivo: clear.0676.jpg | Prob: 0.1049 | Threshold: 0.6000
2025-02-19 18:52:16 - Arquivo: clear.0706.jpg | Prob: 0.3325 | Threshold: 0.6000
2025-02-19 19:23:40 - Arquivo: clear.0780.jpg | Prob: 0.0122 | Threshold: 0.6000
2025-02-19 19:48:07 - Arquivo: clear.0834.jpg | Prob: 0.0119 | Threshold: 0.6000
2025-02-19 19:55:32 - Arquivo: clear.0849.jpg | Prob: 0.2653 | Threshold: 0.6000
2025-02-19 20:04:15 - Arquivo: clear.0867.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 20:09:37 - Arquivo: clear.0876.jpg | Prob: 0.0004 | Threshold: 0.6000
2025-02-19 20:20:01 - Arquivo: clear.0898.jpg | Prob: 0.3473 | Threshold: 0.6000
2025-02-19 20:32:35 - Arquivo: clear.0924.jpg | Prob: 0.3389 | Threshold: 0.6000
2025-02-19 20:36:20 - Arquivo: clear.0931.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-19 20:39:39 - Arquivo: clear.0937.jpg | Prob: 0.0176 | Threshold: 0.6000
2025-02-19 20:44:26 - Arquivo: clear.0946.jpg | Prob: 0.0449 | Threshold: 0.6000
2025-02-19 20:46:23 - Arquivo: clear.0950.jpg | Prob: 0.0067 | Threshold: 0.6000
2025-02-19 20:46:56 - Arquivo: clear.0951.jpg | Prob: 0.0062 | Threshold: 0.6000
2025-02-19 21:06:55 - Arquivo: clear.0990.jpeg | Prob: 0.2607 | Threshold: 0.6000
2025-02-19 21:07:18 - Arquivo: clear.0991.jpeg | Prob: 0.0178 | Threshold: 0.6000
2025-02-19 21:15:30 - Arquivo: clear.1006.jpg | Prob: 0.0103 | Threshold: 0.6000
2025-02-19 21:21:12 - Arquivo: nonclear.0000.jpg | Prob: 0.0534 | Threshold: 0.6000
2025-02-19 21:21:37 - Arquivo: nonclear.0001.jpg | Prob: 0.0650 | Threshold: 0.6000
2025-02-19 21:22:11 - Arquivo: nonclear.0002.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 21:22:35 - Arquivo: nonclear.0003.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 21:22:58 - Arquivo: nonclear.0004.jpg | Prob: 0.1034 | Threshold: 0.6000
2025-02-19 21:23:31 - Arquivo: nonclear.0005.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 21:23:54 - Arquivo: nonclear.0006.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-19 21:24:31 - Arquivo: nonclear.0007.jpg | Prob: 0.0109 | Threshold: 0.6000
2025-02-19 21:25:31 - Arquivo: nonclear.0008.jpg | Prob: 0.0107 | Threshold: 0.6000
2025-02-19 21:26:16 - Arquivo: nonclear.0009.jpg | Prob: 0.1601 | Threshold: 0.6000
