2025-02-17 22:46:42 - Arquivo: clear.0004.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-17 22:50:38 - Arquivo: clear.0014.jpg | Prob: 0.0965 | Threshold: 0.6000
2025-02-17 22:51:01 - Arquivo: clear.0015.jpg | Prob: 0.0852 | Threshold: 0.6000
2025-02-17 22:58:24 - Arquivo: clear.0033.jpg | Prob: 0.0007 | Threshold: 0.6000
2025-02-17 23:05:30 - Arquivo: clear.0050.jpg | Prob: 0.0406 | Threshold: 0.6000
2025-02-17 23:07:38 - Arquivo: clear.0055.jpg | Prob: 0.3170 | Threshold: 0.6000
2025-02-17 23:10:59 - Arquivo: clear.0063.jpg | Prob: 0.0004 | Threshold: 0.6000
2025-02-17 23:28:54 - Arquivo: clear.0106.jpg | Prob: 0.3070 | Threshold: 0.6000
2025-02-17 23:35:29 - Arquivo: clear.0122.jpg | Prob: 0.2483 | Threshold: 0.6000
2025-02-17 23:42:27 - Arquivo: clear.0139.jpg | Prob: 0.3092 | Threshold: 0.6000
2025-02-17 23:49:13 - Arquivo: clear.0154.jpg | Prob: 0.0099 | Threshold: 0.6000
2025-02-17 23:52:38 - Arquivo: clear.0162.jpg | Prob: 0.0531 | Threshold: 0.6000
2025-02-17 23:58:45 - Arquivo: clear.0175.jpg | Prob: 0.0333 | Threshold: 0.6000
2025-02-18 00:00:22 - Arquivo: clear.0179.jpg | Prob: 0.0024 | Threshold: 0.6000
2025-02-18 00:00:51 - Arquivo: clear.0180.jpg | Prob: 0.1934 | Threshold: 0.6000
2025-02-18 00:02:34 - Arquivo: clear.0184.jpg | Prob: 0.1188 | Threshold: 0.6000
2025-02-18 00:03:51 - Arquivo: clear.0187.jpg | Prob: 0.1190 | Threshold: 0.6000
2025-02-18 00:04:14 - Arquivo: clear.0188.jpg | Prob: 0.0447 | Threshold: 0.6000
2025-02-18 00:04:39 - Arquivo: clear.0189.jpg | Prob: 0.0339 | Threshold: 0.6000
2025-02-18 00:40:24 - Arquivo: clear.0272.jpeg | Prob: 0.0908 | Threshold: 0.6000
2025-02-18 00:42:47 - Arquivo: clear.0277.jpeg | Prob: 0.2299 | Threshold: 0.6000
2025-02-18 01:00:00 - Arquivo: clear.0317.jpeg | Prob: 0.1783 | Threshold: 0.6000
2025-02-18 01:02:36 - Arquivo: clear.0323.jpeg | Prob: 0.0260 | Threshold: 0.6000
2025-02-18 01:26:33 - Arquivo: clear.0376.jpeg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 01:26:58 - Arquivo: clear.0377.jpeg | Prob: 0.0008 | Threshold: 0.6000
2025-02-18 01:28:03 - Arquivo: clear.0379.jpeg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 01:49:03 - Arquivo: clear.0428.jpg | Prob: 0.0004 | Threshold: 0.6000
2025-02-18 01:52:41 - Arquivo: clear.0435.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 01:53:07 - Arquivo: clear.0436.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 02:06:44 - Arquivo: clear.0468.jpg | Prob: 0.0009 | Threshold: 0.6000
2025-02-18 02:10:48 - Arquivo: clear.0478.jpg | Prob: 0.0268 | Threshold: 0.6000
2025-02-18 02:15:39 - Arquivo: clear.0489.jpg | Prob: 0.0358 | Threshold: 0.6000
2025-02-18 02:37:18 - Arquivo: clear.0538.jpg | Prob: 0.1878 | Threshold: 0.6000
2025-02-18 02:45:02 - Arquivo: clear.0556.jpg | Prob: 0.2077 | Threshold: 0.6000
2025-02-18 02:46:37 - Arquivo: clear.0559.jpg | Prob: 0.0629 | Threshold: 0.6000
2025-02-18 03:40:04 - Arquivo: clear.0677.jpg | Prob: 0.0419 | Threshold: 0.6000
2025-02-18 03:59:30 - Arquivo: clear.0722.jpg | Prob: 0.0124 | Threshold: 0.6000
2025-02-18 04:25:52 - Arquivo: clear.0779.jpg | Prob: 0.1255 | Threshold: 0.6000
2025-02-18 04:26:18 - Arquivo: clear.0780.jpg | Prob: 0.0010 | Threshold: 0.6000
2025-02-18 04:51:23 - Arquivo: clear.0834.jpg | Prob: 0.0014 | Threshold: 0.6000
2025-02-18 04:53:57 - Arquivo: clear.0840.jpg | Prob: 0.2061 | Threshold: 0.6000
2025-02-18 04:58:18 - Arquivo: clear.0849.jpg | Prob: 0.0043 | Threshold: 0.6000
2025-02-18 04:59:40 - Arquivo: clear.0852.jpg | Prob: 0.0273 | Threshold: 0.6000
2025-02-18 05:27:39 - Arquivo: clear.0913.jpg | Prob: 0.0077 | Threshold: 0.6000
2025-02-18 05:32:37 - Arquivo: clear.0924.jpg | Prob: 0.0851 | Threshold: 0.6000
2025-02-18 05:34:16 - Arquivo: clear.0928.jpg | Prob: 0.1609 | Threshold: 0.6000
2025-02-18 05:35:53 - Arquivo: clear.0931.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-18 05:36:24 - Arquivo: clear.0932.jpg | Prob: 0.0016 | Threshold: 0.6000
2025-02-18 05:37:02 - Arquivo: clear.0933.jpg | Prob: 0.0052 | Threshold: 0.6000
2025-02-18 05:37:27 - Arquivo: clear.0934.jpg | Prob: 0.0852 | Threshold: 0.6000
2025-02-18 05:37:49 - Arquivo: clear.0935.jpg | Prob: 0.0045 | Threshold: 0.6000
2025-02-18 05:42:50 - Arquivo: clear.0946.jpg | Prob: 0.0094 | Threshold: 0.6000
2025-02-18 05:44:29 - Arquivo: clear.0950.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 05:44:57 - Arquivo: clear.0951.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:02:43 - Arquivo: clear.0990.jpeg | Prob: 0.1191 | Threshold: 0.6000
2025-02-18 06:05:24 - Arquivo: clear.0995.jpg | Prob: 0.2591 | Threshold: 0.6000
2025-02-18 06:09:56 - Arquivo: clear.1005.jpg | Prob: 0.1094 | Threshold: 0.6000
2025-02-18 06:14:16 - Arquivo: clear.1014.jpg | Prob: 0.3472 | Threshold: 0.6000
2025-02-18 06:16:09 - Arquivo: nonclear.0000.jpg | Prob: 0.0154 | Threshold: 0.6000
2025-02-18 06:17:13 - Arquivo: nonclear.0001.jpg | Prob: 0.4911 | Threshold: 0.6000
2025-02-18 06:17:42 - Arquivo: nonclear.0002.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:18:36 - Arquivo: nonclear.0003.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:19:05 - Arquivo: nonclear.0004.jpg | Prob: 0.7800 | Threshold: 0.6000
2025-02-18 06:19:51 - Arquivo: nonclear.0005.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:20:19 - Arquivo: nonclear.0006.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:21:01 - Arquivo: nonclear.0007.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-18 06:21:27 - Arquivo: nonclear.0008.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:21:54 - Arquivo: nonclear.0009.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:22:49 - Arquivo: nonclear.0010.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:23:20 - Arquivo: nonclear.0011.jpg | Prob: 0.1331 | Threshold: 0.6000
2025-02-18 06:23:48 - Arquivo: nonclear.0012.jpg | Prob: 0.0443 | Threshold: 0.6000
2025-02-18 06:24:14 - Arquivo: nonclear.0013.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-18 06:24:40 - Arquivo: nonclear.0014.jpg | Prob: 0.0064 | Threshold: 0.6000
2025-02-18 06:25:06 - Arquivo: nonclear.0015.jpg | Prob: 0.1303 | Threshold: 0.6000
2025-02-18 06:25:32 - Arquivo: nonclear.0016.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:26:01 - Arquivo: nonclear.0017.jpg | Prob: 0.4655 | Threshold: 0.6000
2025-02-18 06:26:27 - Arquivo: nonclear.0018.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-18 06:27:06 - Arquivo: nonclear.0019.jpg | Prob: 0.0067 | Threshold: 0.6000
2025-02-18 06:27:33 - Arquivo: nonclear.0020.jpg | Prob: 1.0000 | Threshold: 0.6000
2025-02-18 06:28:04 - Arquivo: nonclear.0021.jpg | Prob: 0.0045 | Threshold: 0.6000
2025-02-18 06:28:31 - Arquivo: nonclear.0022.jpg | Prob: 0.4677 | Threshold: 0.6000
