2025-02-17 06:45:32 - Arquivo: clear.0004.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-17 06:50:12 - Arquivo: clear.0016.jpg | Prob: 0.3315 | Threshold: 0.6000
2025-02-17 06:56:57 - Arquivo: clear.0031.jpg | Prob: 0.0013 | Threshold: 0.6000
2025-02-17 06:58:03 - Arquivo: clear.0033.jpg | Prob: 0.0174 | Threshold: 0.6000
2025-02-17 07:06:27 - Arquivo: clear.0051.jpg | Prob: 0.0106 | Threshold: 0.6000
2025-02-17 07:12:26 - Arquivo: clear.0063.jpg | Prob: 0.2809 | Threshold: 0.6000
2025-02-17 07:15:01 - Arquivo: clear.0069.jpg | Prob: 0.0029 | Threshold: 0.6000
2025-02-17 07:19:23 - Arquivo: clear.0079.jpg | Prob: 0.0278 | Threshold: 0.6000
2025-02-17 07:24:07 - Arquivo: clear.0088.jpg | Prob: 0.0176 | Threshold: 0.6000
2025-02-17 07:25:26 - Arquivo: clear.0091.jpg | Prob: 0.2328 | Threshold: 0.6000
2025-02-17 07:32:43 - Arquivo: clear.0106.jpg | Prob: 0.1585 | Threshold: 0.6000
2025-02-17 07:40:02 - Arquivo: clear.0122.jpg | Prob: 0.2755 | Threshold: 0.6000
2025-02-17 07:46:25 - Arquivo: clear.0136.jpg | Prob: 0.0323 | Threshold: 0.6000
2025-02-17 07:47:45 - Arquivo: clear.0139.jpg | Prob: 0.0281 | Threshold: 0.6000
2025-02-17 07:58:32 - Arquivo: clear.0162.jpg | Prob: 0.0012 | Threshold: 0.6000
2025-02-17 07:59:22 - Arquivo: clear.0164.jpg | Prob: 0.3104 | Threshold: 0.6000
2025-02-17 08:06:26 - Arquivo: clear.0180.jpg | Prob: 0.1030 | Threshold: 0.6000
2025-02-17 08:09:59 - Arquivo: clear.0188.jpg | Prob: 0.0779 | Threshold: 0.6000
2025-02-17 08:10:23 - Arquivo: clear.0189.jpg | Prob: 0.0013 | Threshold: 0.6000
2025-02-17 08:49:31 - Arquivo: clear.0272.jpeg | Prob: 0.0130 | Threshold: 0.6000
2025-02-17 08:51:41 - Arquivo: clear.0277.jpeg | Prob: 0.3433 | Threshold: 0.6000
2025-02-17 09:20:29 - Arquivo: clear.0341.jpeg | Prob: 0.1197 | Threshold: 0.6000
2025-02-17 09:35:30 - Arquivo: clear.0376.jpeg | Prob: 0.0000 | Threshold: 0.6000
2025-02-17 09:35:55 - Arquivo: clear.0377.jpeg | Prob: 0.0418 | Threshold: 0.6000
2025-02-17 09:36:20 - Arquivo: clear.0378.jpeg | Prob: 0.0816 | Threshold: 0.6000
2025-02-17 09:55:27 - Arquivo: clear.0420.jpg | Prob: 0.0880 | Threshold: 0.6000
2025-02-17 09:58:49 - Arquivo: clear.0428.jpg | Prob: 0.0328 | Threshold: 0.6000
2025-02-17 10:01:48 - Arquivo: clear.0435.jpg | Prob: 0.0106 | Threshold: 0.6000
2025-02-17 10:02:16 - Arquivo: clear.0436.jpg | Prob: 0.0010 | Threshold: 0.6000
2025-02-17 10:11:31 - Arquivo: clear.0457.jpg | Prob: 0.0014 | Threshold: 0.6000
2025-02-17 10:15:00 - Arquivo: clear.0465.jpg | Prob: 0.1499 | Threshold: 0.6000
2025-02-17 10:25:45 - Arquivo: clear.0489.jpg | Prob: 0.0027 | Threshold: 0.6000
2025-02-17 10:28:51 - Arquivo: clear.0496.jpg | Prob: 0.1618 | Threshold: 0.6000
