2025-02-14 13:10:36 - Arquivo: clear.004.jpg | Prob: 0.0249 | Threshold: 0.6000
2025-02-14 13:12:40 - Arquivo: clear.015.jpg | Prob: 0.0028 | Threshold: 0.6000
2025-02-14 13:15:41 - Arquivo: clear.031.jpg | Prob: 0.0059 | Threshold: 0.6000
2025-02-14 13:15:51 - Arquivo: clear.032.jpg | Prob: 0.0665 | Threshold: 0.6000
2025-02-14 13:19:12 - Arquivo: clear.051.jpg | Prob: 0.0242 | Threshold: 0.6000
2025-02-14 13:22:30 - Arquivo: clear.069.jpg | Prob: 0.0806 | Threshold: 0.6000
2025-02-14 13:25:28 - Arquivo: clear.084.jpg | Prob: 0.2981 | Threshold: 0.6000
2025-02-14 13:25:48 - Arquivo: clear.086.jpg | Prob: 0.1825 | Threshold: 0.6000
2025-02-14 13:26:12 - Arquivo: clear.088.jpg | Prob: 0.0645 | Threshold: 0.6000
2025-02-14 13:29:22 - Arquivo: clear.104.jpg | Prob: 0.3282 | Threshold: 0.6000
2025-02-14 13:30:40 - Arquivo: clear.111.jpg | Prob: 0.2489 | Threshold: 0.6000
2025-02-14 13:33:01 - Arquivo: clear.124.jpg | Prob: 0.0426 | Threshold: 0.6000
2025-02-14 13:34:44 - Arquivo: clear.133.jpg | Prob: 0.1547 | Threshold: 0.6000
2025-02-14 13:35:16 - Arquivo: clear.136.jpg | Prob: 0.0231 | Threshold: 0.6000
2025-02-14 13:42:56 - Arquivo: nonclear.000.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-14 13:43:10 - Arquivo: nonclear.001.jpg | Prob: 0.0014 | Threshold: 0.6000
2025-02-14 13:43:21 - Arquivo: nonclear.002.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 13:43:34 - Arquivo: nonclear.003.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 13:43:46 - Arquivo: nonclear.004.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-14 13:44:01 - Arquivo: nonclear.005.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 13:44:15 - Arquivo: nonclear.006.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 13:44:28 - Arquivo: nonclear.007.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 13:44:41 - Arquivo: nonclear.008.jpg | Prob: 0.0015 | Threshold: 0.6000
2025-02-14 13:44:55 - Arquivo: nonclear.009.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-14 13:45:08 - Arquivo: nonclear.010.jpg | Prob: 0.0003 | Threshold: 0.6000
2025-02-14 13:45:20 - Arquivo: nonclear.011.jpg | Prob: 0.5599 | Threshold: 0.6000
2025-02-14 13:45:32 - Arquivo: nonclear.012.jpg | Prob: 0.0038 | Threshold: 0.6000
2025-02-14 13:45:46 - Arquivo: nonclear.013.jpg | Prob: 0.2663 | Threshold: 0.6000
2025-02-14 13:46:00 - Arquivo: nonclear.014.jpg | Prob: 0.0112 | Threshold: 0.6000
2025-02-14 13:46:16 - Arquivo: nonclear.015.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 13:46:29 - Arquivo: nonclear.016.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 13:46:42 - Arquivo: nonclear.017.jpg | Prob: 0.9370 | Threshold: 0.6000
2025-02-14 13:46:55 - Arquivo: nonclear.018.jpg | Prob: 0.0000 | Threshold: 0.6000
