2025-02-14 15:22:20 - Arquivo: clear.0004.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 15:24:14 - Arquivo: clear.0012.jpg | Prob: 0.2516 | Threshold: 0.6000
2025-02-14 15:24:56 - Arquivo: clear.0015.jpg | Prob: 0.1782 | Threshold: 0.6000
2025-02-14 15:28:46 - Arquivo: clear.0031.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-14 15:29:00 - Arquivo: clear.0032.jpg | Prob: 0.0642 | Threshold: 0.6000
2025-02-14 15:29:15 - Arquivo: clear.0033.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-14 15:33:33 - Arquivo: clear.0051.jpg | Prob: 0.0012 | Threshold: 0.6000
2025-02-14 15:36:14 - Arquivo: clear.0061.jpg | Prob: 0.2997 | Threshold: 0.6000
2025-02-14 15:36:42 - Arquivo: clear.0063.jpg | Prob: 0.1053 | Threshold: 0.6000
2025-02-14 15:38:08 - Arquivo: clear.0069.jpg | Prob: 0.0006 | Threshold: 0.6000
2025-02-14 15:40:33 - Arquivo: clear.0079.jpg | Prob: 0.0175 | Threshold: 0.6000
2025-02-14 15:42:18 - Arquivo: clear.0086.jpg | Prob: 0.1842 | Threshold: 0.6000
2025-02-14 15:42:48 - Arquivo: clear.0088.jpg | Prob: 0.0262 | Threshold: 0.6000
2025-02-14 15:45:18 - Arquivo: clear.0098.jpg | Prob: 0.0081 | Threshold: 0.6000
2025-02-14 15:46:45 - Arquivo: clear.0104.jpg | Prob: 0.1702 | Threshold: 0.6000
2025-02-14 15:47:13 - Arquivo: clear.0106.jpg | Prob: 0.0084 | Threshold: 0.6000
2025-02-14 15:51:16 - Arquivo: clear.0122.jpg | Prob: 0.1576 | Threshold: 0.6000
2025-02-14 15:54:06 - Arquivo: clear.0133.jpg | Prob: 0.0297 | Threshold: 0.6000
2025-02-14 15:54:52 - Arquivo: clear.0136.jpg | Prob: 0.3018 | Threshold: 0.6000
2025-02-14 15:55:37 - Arquivo: clear.0139.jpg | Prob: 0.0008 | Threshold: 0.6000
2025-02-14 16:01:28 - Arquivo: clear.0162.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 16:01:57 - Arquivo: clear.0164.jpg | Prob: 0.1692 | Threshold: 0.6000
2025-02-14 16:04:51 - Arquivo: clear.0175.jpg | Prob: 0.2881 | Threshold: 0.6000
2025-02-14 16:06:06 - Arquivo: clear.0180.jpg | Prob: 0.0012 | Threshold: 0.6000
2025-02-14 16:08:03 - Arquivo: clear.0188.jpg | Prob: 0.0279 | Threshold: 0.6000
2025-02-14 16:08:18 - Arquivo: clear.0189.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-14 16:29:44 - Arquivo: clear.0272.jpeg | Prob: 0.0077 | Threshold: 0.6000
2025-02-14 16:31:11 - Arquivo: clear.0277.jpeg | Prob: 0.0015 | Threshold: 0.6000
2025-02-14 16:48:08 - Arquivo: clear.0341.jpeg | Prob: 0.0115 | Threshold: 0.6000
2025-02-14 16:56:49 - Arquivo: clear.0376.jpeg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 16:57:06 - Arquivo: clear.0377.jpeg | Prob: 0.1157 | Threshold: 0.6000
2025-02-14 16:57:19 - Arquivo: clear.0378.jpeg | Prob: 0.0180 | Threshold: 0.6000
2025-02-14 16:57:33 - Arquivo: clear.0379.jpeg | Prob: 0.0544 | Threshold: 0.6000
2025-02-14 17:07:30 - Arquivo: clear.0419.jpg | Prob: 0.2069 | Threshold: 0.6000
2025-02-14 17:07:44 - Arquivo: clear.0420.jpg | Prob: 0.0156 | Threshold: 0.6000
2025-02-14 17:09:40 - Arquivo: clear.0428.jpg | Prob: 0.0009 | Threshold: 0.6000
2025-02-14 17:11:29 - Arquivo: clear.0435.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-14 17:11:43 - Arquivo: clear.0436.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 17:16:56 - Arquivo: clear.0457.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-14 17:18:51 - Arquivo: clear.0465.jpg | Prob: 0.2175 | Threshold: 0.6000
2025-02-14 17:24:42 - Arquivo: clear.0489.jpg | Prob: 0.0010 | Threshold: 0.6000
2025-02-14 17:26:20 - Arquivo: clear.0496.jpg | Prob: 0.1047 | Threshold: 0.6000
2025-02-14 17:29:45 - Arquivo: clear.0510.jpg | Prob: 0.0000 | Threshold: 0.6000
