Split_Index;Epoch;Accuracy;Val_Loss;Val_Accuracy;TN;FP;FN;TP
0;1;0,9181;0,599240482;0,918128669;68;8;6;89
0;2;0,9357;0,53906244;0,935672522;70;6;5;90
0;3;0,9298;0,520676255;0,929824591;69;7;5;90
0;4;0,9357;0,514821529;0,935672522;69;7;4;91
0;5;0,9357;0,441841394;0,935672522;70;6;5;90
0;6;0,9474;0,413728505;0,947368443;71;5;4;91
0;7;0,9474;0,406797349;0,947368443;70;6;3;92
0;8;0,924;0,384401232;0,9239766;67;9;4;91
0;9;0,9474;0,330070525;0,947368443;70;6;3;92
0;10;0,9415;0,319587052;0,941520452;68;8;2;93
0;11;0,9474;0,307091832;0,947368443;70;6;3;92
0;12;0,9415;0,29951331;0,941520452;70;6;4;91
0;13;0,9298;0,271770865;0,929824591;68;8;4;91
0;14;0,9474;0,270496488;0,947368443;71;5;4;91
0;15;0,9415;0,254190058;0,941520452;69;7;3;92
0;16;0,9415;0,243206531;0,941520452;69;7;3;92
0;17;0,924;0,26074338;0,9239766;68;8;5;90
0;18;0,9415;0,239142299;0,941520452;68;8;2;93
0;19;0,9357;0,265322357;0,935672522;68;8;3;92
0;20;0,9357;0,230768591;0,935672522;68;8;3;92
0;21;0,9474;0,237302035;0,947368443;69;7;2;93
0;22;0,9298;0,22423777;0,929824591;67;9;3;92
0;23;0,9415;0,21480225;0,941520452;70;6;4;91
0;24;0,9474;0,23013252;0,947368443;70;6;3;92
0;25;0,9415;0,217831463;0,941520452;69;7;3;92
0;26;0,9357;0,222171366;0,935672522;68;8;3;92
0;27;0,9415;0,246571139;0,941520452;68;8;2;93
0;28;0,9415;0,225990579;0,941520452;68;8;2;93
1;1;0,924;0,607122719;0,9239766;69;7;6;89
1;2;0,9181;0,581714094;0,918128669;69;7;7;88
1;3;0,9181;0,587533414;0,918128669;68;8;6;89
1;4;0,9123;0,568349063;0,912280679;69;7;8;87
1;5;0,924;0,550448239;0,9239766;70;6;7;88
1;6;0,9123;0,525046766;0,912280679;67;9;6;89
1;7;0,9181;0,527529061;0,918128669;68;8;6;89
1;8;0,9006;0,485590935;0,900584817;67;9;8;87
1;9;0,9181;0,467988938;0,918128669;70;6;8;87
1;10;0,9123;0,460878789;0,912280679;68;8;7;88
1;11;0,9298;0,394994557;0,929824591;69;7;5;90
1;12;0,9181;0,441247821;0,918128669;68;8;6;89
1;13;0,8947;0,442125648;0,894736826;66;10;8;87
1;14;0,9123;0,394274533;0,912280679;67;9;6;89
1;15;0,9064;0,418920338;0,906432748;66;10;6;89
1;16;0,9123;0,372373641;0,912280679;69;7;8;87
1;17;0,9123;0,420265585;0,912280679;67;9;6;89
1;18;0,9064;0,375421166;0,906432748;67;9;7;88
1;19;0,883;0,417277604;0,883040965;65;11;9;86
1;20;0,8947;0,367755592;0,894736826;66;10;8;87
1;21;0,9006;0,38626644;0,900584817;67;9;8;87
1;22;0,9064;0,419380844;0,906432748;66;10;6;89
1;23;0,8889;0,402293772;0,888888896;66;10;9;86
1;24;0,9006;0,36441794;0,900584817;66;10;7;88
1;25;0,9006;0,403329939;0,900584817;66;10;7;88
1;26;0,9064;0,379487425;0,906432748;67;9;7;88
1;27;0,9064;0,423313171;0,906432748;67;9;7;88
1;28;0,9064;0,412066907;0,906432748;66;10;6;89
1;29;0,9006;0,451345623;0,900584817;67;9;8;87
2;1;0,9123;0,639736116;0,912280679;67;9;6;89
2;2;0,924;0,637610257;0,9239766;67;9;4;91
2;3;0,9064;0,599989951;0,906432748;68;8;8;87
2;4;0,9181;0,572574019;0,918128669;68;8;6;89
2;5;0,9123;0,564101458;0,912280679;69;7;8;87
2;6;0,9123;0,491437763;0,912280679;66;10;5;90
2;7;0,9181;0,480261594;0,918128669;68;8;6;89
2;8;0,9006;0,506762445;0,900584817;67;9;8;87
2;9;0,924;0,456028998;0,9239766;69;7;6;89
2;10;0,9123;0,427432716;0,912280679;68;8;7;88
2;11;0,924;0,400833577;0,9239766;71;5;8;87
2;12;0,9123;0,411770701;0,912280679;70;6;9;86
2;13;0,9181;0,381238312;0,918128669;68;8;6;89
2;14;0,9123;0,35740301;0,912280679;69;7;8;87
2;15;0,8947;0,386777729;0,894736826;67;9;9;86
2;16;0,9006;0,322101593;0,900584817;66;10;7;88
2;17;0,9064;0,293858081;0,906432748;68;8;8;87
2;18;0,9064;0,37864238;0,906432748;68;8;8;87
2;19;0,9006;0,323631763;0,900584817;67;9;8;87
2;20;0,9123;0,326604456;0,912280679;67;9;6;89
2;21;0,924;0,303429306;0,9239766;72;4;9;86
2;22;0,9064;0,309880674;0,906432748;68;8;8;87
3;1;0,8889;0,68307519;0,888888896;64;12;7;88
3;2;0,8889;0,633070111;0,888888896;64;12;7;88
3;3;0,9123;0,570024252;0,912280679;65;11;4;91
3;4;0,9006;0,573346138;0,900584817;69;7;10;85
3;5;0,9298;0,557466269;0,929824591;68;8;4;91
3;6;0,9123;0,513568759;0,912280679;67;9;6;89
3;7;0,9123;0,501243651;0,912280679;69;7;8;87
3;8;0,9181;0,471655995;0,918128669;70;6;8;87
3;9;0,9123;0,475054681;0,912280679;67;9;6;89
3;10;0,9123;0,435189039;0,912280679;66;10;5;90
3;11;0,9181;0,428955078;0,918128669;67;9;5;90
3;12;0,9123;0,415057182;0,912280679;68;8;7;88
3;13;0,9298;0,402145267;0,929824591;70;6;6;89
3;14;0,9298;0,38071081;0,929824591;69;7;5;90
3;15;0,9123;0,372879744;0,912280679;66;10;5;90
3;16;0,9006;0,365998387;0,900584817;68;8;9;86
3;17;0,9181;0,341029644;0,918128669;68;8;6;89
3;18;0,9415;0,289007753;0,941520452;69;7;3;92
3;19;0,9123;0,34106797;0,912280679;65;11;4;91
3;20;0,9123;0,319911748;0,912280679;71;5;10;85
3;21;0,9181;0,358246654;0,918128669;69;7;7;88
3;22;0,9123;0,351448536;0,912280679;69;7;8;87
3;23;0,9006;0,311749935;0,900584817;67;9;8;87
4;1;0,9181;0,622285306;0,918128669;67;9;5;90
4;2;0,9298;0,586075604;0,929824591;70;6;6;89
4;3;0,9123;0,583612561;0,912280679;69;7;8;87
4;4;0,9123;0,573544204;0,912280679;68;8;7;88
4;5;0,9123;0,553815067;0,912280679;69;7;8;87
4;6;0,9181;0,520269334;0,918128669;71;5;9;86
4;7;0,924;0,486253083;0,9239766;69;7;6;89
4;8;0,9064;0,500313938;0,906432748;66;10;6;89
4;9;0,924;0,428518027;0,9239766;69;7;6;89
4;10;0,9123;0,414549798;0,912280679;69;7;8;87
4;11;0,9181;0,43934378;0,918128669;69;7;7;88
4;12;0,9123;0,415110618;0,912280679;70;6;9;86
4;13;0,9181;0,440042466;0,918128669;69;7;7;88
4;14;0,9064;0,401439637;0,906432748;69;7;9;86
4;15;0,9123;0,381544471;0,912280679;69;7;8;87
4;16;0,9181;0,376394302;0,918128669;70;6;8;87
4;17;0,9123;0,394646168;0,912280679;68;8;7;88
4;18;0,924;0,365221262;0,9239766;70;6;7;88
4;19;0,9064;0,387021124;0,906432748;69;7;9;86
4;20;0,924;0,355980933;0,9239766;70;6;7;88
4;21;0,9181;0,377659231;0,918128669;69;7;7;88
4;22;0,924;0,354890317;0,9239766;70;6;7;88
4;23;0,9181;0,366509646;0,918128669;71;5;9;86
4;24;0,9298;0,382164717;0,929824591;71;5;7;88
4;25;0,9123;0,379668266;0,912280679;68;8;7;88
4;26;0,924;0,409491032;0,9239766;70;6;7;88
4;27;0,8947;0,453626752;0,894736826;68;8;10;85
5;1;0,9181;0,632888377;0,918128669;66;10;4;91
5;2;0,924;0,578879118;0,9239766;68;8;5;90
5;3;0,9298;0,55847764;0,929824591;70;6;6;89
5;4;0,9415;0,550723493;0,941520452;71;5;5;90
5;5;0,924;0,495492578;0,9239766;69;7;6;89
5;6;0,9298;0,482595205;0,929824591;70;6;6;89
5;7;0,9474;0,430248767;0,947368443;70;6;3;92
5;8;0,9298;0,449430853;0,929824591;71;5;7;88
5;9;0,9415;0,396670789;0,941520452;70;6;4;91
