Modelo,ExtractModel,Pooling,Parâmetros,Acurácia,Precisão,Recall,F1-Score,ROC-AUC
MobileNetV1_fold1_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.9430051813471503,0.9259259259259259,0.970873786407767,0.9478672985781991,0.940992448759439
MobileNetV1_fold2_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.9378238341968912,0.941747572815534,0.941747572815534,0.941747572815534,0.9375404530744337
MobileNetV1_fold3_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.9326424870466321,0.9166666666666666,0.9611650485436893,0.9383886255924171,0.9305825242718446
MobileNetV1_fold4_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.917098445595855,0.8990825688073395,0.9514563106796117,0.9245283018867926,0.9146170442286947
MobileNetV1_fold5_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.917098445595855,0.8918918918918919,0.9611650485436893,0.9252336448598131,0.913915857605178
MobileNetV1_fold6_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.9378238341968912,0.9026548672566371,0.9902912621359223,0.9444444444444444,0.93403451995685
MobileNetV1_fold7_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.9430051813471503,0.9333333333333333,0.9607843137254902,0.9468599033816426,0.9419306184012067
MobileNetV1_fold8_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.9067357512953368,0.8620689655172413,0.9803921568627451,0.9174311926605505,0.9022839905192847
MobileNetV1_fold9_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.9740932642487047,0.9532710280373832,1.0,0.9760765550239235,0.9725274725274725
MobileNetV1_fold10_model1,MobileNetV1,avg,"{'activation': 'relu', 'dropout_rate': 0.0, 'learning_rate': 0.0005, 'n_layers': 1, 'n_neurons': 16, 'optimizer': 'adam'}",0.9479166666666666,0.96,0.9411764705882353,0.9504950495049505,0.9483660130718955
