mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__dropout_rate,param_model__learning_rate,param_model__n_layers,param_model__n_neurons,param_model__optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0680043697357178,0.058774754830727624,0.13476214408874512,0.00359974362629712,relu,0.0,0.0005,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8252427184466019,0.8187702265372169,0.7637540453074434,0.8798701298701299,0.8409090909090909,0.8257092422140966,0.03755329854692387,43
1.260671901702881,0.0830480581951407,0.14685344696044922,0.002906444083870311,relu,0.0,0.0005,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8349514563106796,0.8025889967637541,0.7572815533980582,0.6331168831168831,0.8311688311688312,0.7718215441516412,0.07470544391090742,63
1.4790760040283204,0.07901818052187615,0.1587228298187256,0.002690704756818237,relu,0.0,0.0005,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8090614886731392,0.7993527508090615,0.8220064724919094,0.8246753246753247,0.8733766233766234,0.8256945320052116,0.025529473050492277,44
1.024729061126709,0.014253074290839279,0.1343090057373047,0.0028246505312966253,relu,0.0,0.0001,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.6051779935275081,0.6213592233009708,0.6828478964401294,0.7272727272727273,0.5616883116883117,0.6396692304459295,0.058557143593954024,92
1.2185019493103026,0.003432623759133659,0.19765024185180663,0.10612038603945687,relu,0.0,0.0001,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.6731391585760518,0.6343042071197411,0.5307443365695793,0.7045454545454546,0.6201298701298701,0.6325726053881393,0.05891103918489059,94
1.4162270069122314,0.009340596902990947,0.15925583839416504,0.0017077729242567898,relu,0.0,0.0001,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.6116504854368932,0.5760517799352751,0.5825242718446602,0.474025974025974,0.6428571428571429,0.577421930819989,0.05687177859754066,109
1.0308695793151856,0.016802674568835642,0.19954295158386232,0.13028882616457363,relu,0.0,0.005,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.005, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8317152103559871,0.8737864077669902,0.8802588996763754,0.9123376623376623,0.8538961038961039,0.8703988568066237,0.026967850165025092,24
1.2179202079772948,0.011632685829411429,0.14988317489624023,0.006282542036180369,relu,0.0,0.005,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.005, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8802588996763754,0.8511326860841424,0.889967637540453,0.9318181818181818,0.8928571428571429,0.889206909595259,0.02592040434797149,9
1.527780246734619,0.15495388432517196,0.1628173828125,0.0038645337416153562,relu,0.0,0.005,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.005, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8867313915857605,0.8478964401294499,0.9288025889967637,0.9253246753246753,0.8474025974025974,0.8872315386878494,0.03553331949662165,11
1.134600782394409,0.06421029782183459,0.15098366737365723,0.018386764378804273,relu,0.0,0.001,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.001, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8964401294498382,0.8737864077669902,0.8511326860841424,0.8701298701298701,0.8701298701298701,0.8723237927121421,0.014439020279491808,21
1.4675144672393798,0.1274339722508565,0.16476655006408691,0.0042014322219794155,relu,0.0,0.001,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.001, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8737864077669902,0.8673139158576052,0.8511326860841424,0.8863636363636364,0.8798701298701299,0.8716933551885008,0.01206961694437651,22
1.728633737564087,0.20940935919669815,0.1818934440612793,0.01063110006856957,relu,0.0,0.001,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.001, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.883495145631068,0.86084142394822,0.8705501618122977,0.8701298701298701,0.8701298701298701,0.8710292943302651,0.007225477801908557,23
1.1077720642089843,0.022169182241793796,0.14595112800598145,0.01553756151292825,relu,0.0,0.05,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.05, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8381877022653722,0.8770226537216829,0.5275080906148867,0.5292207792207793,0.8506493506493507,0.7245177152944143,0.16064961691589008,68
1.4477795124053956,0.08182912067167128,0.17133517265319825,0.016002019476574487,relu,0.0,0.05,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.05, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8478964401294499,0.8284789644012945,0.8284789644012945,0.8863636363636364,0.5292207792207793,0.7840877569032909,0.12917448547892338,59
1.8212512969970702,0.20424332595255554,0.1832559585571289,0.02732781560773325,relu,0.0,0.05,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.05, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8511326860841424,0.8446601941747572,0.8543689320388349,0.9058441558441559,0.8376623376623377,0.8587336611608457,0.024241648206005675,32
1.2112799644470216,0.09928042229612932,0.14705724716186525,0.00556853049333036,relu,0.0,0.01,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.01, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8867313915857605,0.8543689320388349,0.5275080906148867,0.9253246753246753,0.8863636363636364,0.8160593451855588,0.14601752965314255,47
1.4338876724243164,0.07906441965956229,0.1882965087890625,0.02428016657306666,relu,0.0,0.01,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.01, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.9093851132686084,0.86084142394822,0.8996763754045307,0.9253246753246753,0.8928571428571429,0.8976169461606356,0.0213801030063158,5
1.8853533744812012,0.05269939181271518,0.327257776260376,0.27478666777741756,relu,0.0,0.01,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.01, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8964401294498382,0.7540453074433657,0.9093851132686084,0.9318181818181818,0.8344155844155844,0.8652208632791156,0.06429509439329652,29
1.4376575946807861,0.29598488955505925,0.16835999488830566,0.027484550724595186,relu,0.0,0.1,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.1, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8478964401294499,0.5275080906148867,0.8284789644012945,0.5292207792207793,0.8214285714285714,0.7109065691589963,0.14929791294921496,74
1.6577690601348878,0.15061751142073884,0.19772520065307617,0.04365063788764598,relu,0.0,0.1,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.1, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8802588996763754,0.5275080906148867,0.47249190938511326,0.5292207792207793,0.8181818181818182,0.6455322994157946,0.16870417503734525,90
1.875370740890503,0.05116546567112314,0.1896085262298584,0.016400577873972703,relu,0.0,0.1,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.1, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.47249190938511326,0.5275080906148867,0.7411003236245954,0.5292207792207793,0.5292207792207793,0.5599083764132308,0.0931723094107156,113
1.5030965328216552,0.3128888493922843,0.14830727577209474,0.0039033453426536506,relu,0.1,0.0005,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.1, 'model__learning_rate': 0.0005, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.8414239482200647,0.8576051779935275,0.8414239482200647,0.8214285714285714,0.8441558441558441,0.8412074980036145,0.011566125469994784,39
1.5196827888488769,0.08297821066669657,0.173575496673584,0.014008480474393648,relu,0.1,0.0005,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.1, 'model__learning_rate': 0.0005, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.7702265372168284,0.8284789644012945,0.8284789644012945,0.75,0.827922077922078,0.801021308788299,0.0340087900111798,50
1.899476909637451,0.14502099548258812,0.20545711517333984,0.020142305236435502,relu,0.1,0.0005,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.1, 'model__learning_rate': 0.0005, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.6957928802588996,0.6796116504854369,0.47896440129449835,0.6461038961038961,0.75,0.6500945656285462,0.0919153400295138,88
1.2509219646453857,0.06711867077680507,0.15020675659179689,0.016956258024740465,relu,0.1,0.0001,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.1, 'model__learning_rate': 0.0001, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.6796116504854369,0.6699029126213593,0.6957928802588996,0.6785714285714286,0.6883116883116883,0.6824381120497625,0.008864762634504201,81
1.764323091506958,0.3964408539663709,0.16529669761657714,0.013390595999419585,relu,0.1,0.0001,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.1, 'model__learning_rate': 0.0001, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.6019417475728155,0.511326860841424,0.627831715210356,0.6818181818181818,0.5584415584415584,0.5962720127768671,0.058297735565874816,102
