mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__dropout_rate,param_model__learning_rate,param_model__n_layers,param_model__n_neurons,param_model__optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.49718441963195803,0.015390117124383542,0.08117203712463379,0.0024071733989600532,relu,0.0,0.0005,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.7993527508090615,0.7378640776699029,0.6245954692556634,0.7272727272727273,0.7694805194805194,0.7317131088975749,0.05921695464699563,73
0.5110317230224609,0.04885742991583889,0.079168701171875,0.0007423851912480154,relu,0.0,0.0005,1,32,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 1, 'model__n_neurons': 32, 'model__optimizer': 'adam'}",0.7346278317152104,0.7119741100323624,0.8025889967637541,0.7564935064935064,0.7467532467532467,0.7504875383516161,0.02999797663586641,59
0.48683834075927734,0.0029176285273574292,0.07933411598205567,0.0002546192820115537,relu,0.0,0.0005,1,64,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 1, 'model__n_neurons': 64, 'model__optimizer': 'adam'}",0.8252427184466019,0.7766990291262136,0.7540453074433657,0.788961038961039,0.7792207792207793,0.7848337746395998,0.023218641496906393,22
0.5461143970489502,0.05961212667320758,0.08505001068115234,0.0006241198336765999,relu,0.0,0.0005,2,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 2, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.686084142394822,0.5631067961165048,0.6828478964401294,0.6623376623376623,0.7305194805194806,0.6649791955617198,0.05557913578089149,123
0.5180500507354736,0.0015515662106508727,0.0849463939666748,0.0004811461542853028,relu,0.0,0.0005,2,32,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 2, 'model__n_neurons': 32, 'model__optimizer': 'adam'}",0.7734627831715211,0.7605177993527508,0.7087378640776699,0.7922077922077922,0.7305194805194806,0.7530891438658429,0.029923116386563312,56
0.5503879070281983,0.06377162394077363,0.08492655754089355,0.0007906533877323096,relu,0.0,0.0005,2,64,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 2, 'model__n_neurons': 64, 'model__optimizer': 'adam'}",0.8576051779935275,0.7831715210355987,0.7799352750809061,0.8571428571428571,0.8636363636363636,0.8282982389778507,0.0382494148323107,2
0.5468175888061524,0.0020244859167140583,0.09058218002319336,0.000630156702282197,relu,0.0,0.0005,3,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 3, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.7152103559870551,0.7443365695792881,0.7605177993527508,0.7467532467532467,0.711038961038961,0.7355713865422604,0.01918644005492928,71
0.5786290645599366,0.060458809056989804,0.09102869033813477,0.00043769565611858095,relu,0.0,0.0005,3,32,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 3, 'model__n_neurons': 32, 'model__optimizer': 'adam'}",0.7605177993527508,0.7605177993527508,0.7864077669902912,0.814935064935065,0.788961038961039,0.7822678939183794,0.02037259938777856,29
0.5844930648803711,0.06641975462153707,0.09115958213806152,0.0013357476334654563,relu,0.0,0.0005,3,64,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 3, 'model__n_neurons': 64, 'model__optimizer': 'adam'}",0.8058252427184466,0.7605177993527508,0.8090614886731392,0.788961038961039,0.8084415584415584,0.7945614256293868,0.01854786408981036,15
0.4854217529296875,0.000960440813696964,0.07908062934875489,0.000450963493097799,relu,0.0,0.0001,1,16,adam,"{'model__activation': 'relu', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 1, 'model__n_neurons': 16, 'model__optimizer': 'adam'}",0.6407766990291263,0.5016181229773463,0.3948220064724919,0.5,0.6785714285714286,0.5431576514100787,0.10340014348138118,271
