2025-02-24 21:30:23 - Arquivo: clear.0004.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-24 21:40:46 - Arquivo: clear.0031.jpg | Prob: 0.0152 | Threshold: 0.6000
2025-02-24 21:41:38 - Arquivo: clear.0033.jpg | Prob: 0.1680 | Threshold: 0.6000
2025-02-24 21:49:07 - Arquivo: clear.0051.jpg | Prob: 0.0091 | Threshold: 0.6000
2025-02-24 21:55:52 - Arquivo: clear.0069.jpg | Prob: 0.0096 | Threshold: 0.6000
2025-02-24 21:59:32 - Arquivo: clear.0079.jpg | Prob: 0.2013 | Threshold: 0.6000
2025-02-24 22:02:45 - Arquivo: clear.0088.jpg | Prob: 0.0697 | Threshold: 0.6000
2025-02-24 22:09:14 - Arquivo: clear.0106.jpg | Prob: 0.0692 | Threshold: 0.6000
2025-02-24 22:21:24 - Arquivo: clear.0136.jpg | Prob: 0.1350 | Threshold: 0.6000
2025-02-24 22:22:35 - Arquivo: clear.0139.jpg | Prob: 0.0189 | Threshold: 0.6000
2025-02-24 22:32:30 - Arquivo: clear.0162.jpg | Prob: 0.0032 | Threshold: 0.6000
2025-02-24 22:39:22 - Arquivo: clear.0180.jpg | Prob: 0.3726 | Threshold: 0.6000
2025-02-24 22:42:20 - Arquivo: clear.0188.jpg | Prob: 0.0732 | Threshold: 0.6000
2025-02-24 22:42:52 - Arquivo: clear.0189.jpg | Prob: 0.0125 | Threshold: 0.6000
2025-02-24 23:18:54 - Arquivo: clear.0272.jpeg | Prob: 0.0189 | Threshold: 0.6000
2025-02-24 23:58:16 - Arquivo: clear.0376.jpeg | Prob: 0.0001 | Threshold: 0.6000
2025-02-24 23:58:34 - Arquivo: clear.0377.jpeg | Prob: 0.0435 | Threshold: 0.6000
2025-02-24 23:59:13 - Arquivo: clear.0379.jpeg | Prob: 0.1104 | Threshold: 0.6000
2025-02-25 00:14:34 - Arquivo: clear.0420.jpg | Prob: 0.1521 | Threshold: 0.6000
2025-02-25 00:17:47 - Arquivo: clear.0428.jpg | Prob: 0.0426 | Threshold: 0.6000
2025-02-25 00:20:09 - Arquivo: clear.0435.jpg | Prob: 0.0017 | Threshold: 0.6000
2025-02-25 00:20:28 - Arquivo: clear.0436.jpg | Prob: 0.0008 | Threshold: 0.6000
2025-02-25 00:28:05 - Arquivo: clear.0457.jpg | Prob: 0.1736 | Threshold: 0.6000
2025-02-25 00:40:08 - Arquivo: clear.0489.jpg | Prob: 0.0227 | Threshold: 0.6000
2025-02-25 00:42:23 - Arquivo: clear.0496.jpg | Prob: 0.2325 | Threshold: 0.6000
2025-02-25 00:47:44 - Arquivo: clear.0510.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-25 01:04:17 - Arquivo: clear.0556.jpg | Prob: 0.2985 | Threshold: 0.6000
2025-02-25 01:21:42 - Arquivo: clear.0603.jpg | Prob: 0.0796 | Threshold: 0.6000
2025-02-25 01:27:23 - Arquivo: clear.0617.jpg | Prob: 0.0062 | Threshold: 0.6000
2025-02-25 01:49:07 - Arquivo: clear.0675.jpg | Prob: 0.0663 | Threshold: 0.6000
2025-02-25 01:49:31 - Arquivo: clear.0676.jpg | Prob: 0.1049 | Threshold: 0.6000
2025-02-25 02:00:17 - Arquivo: clear.0706.jpg | Prob: 0.3325 | Threshold: 0.6000
2025-02-25 02:27:15 - Arquivo: clear.0780.jpg | Prob: 0.0122 | Threshold: 0.6000
2025-02-25 02:48:09 - Arquivo: clear.0834.jpg | Prob: 0.0119 | Threshold: 0.6000
2025-02-25 02:54:25 - Arquivo: clear.0849.jpg | Prob: 0.2653 | Threshold: 0.6000
2025-02-25 03:01:47 - Arquivo: clear.0867.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-25 03:06:17 - Arquivo: clear.0876.jpg | Prob: 0.0004 | Threshold: 0.6000
2025-02-25 03:15:00 - Arquivo: clear.0898.jpg | Prob: 0.3473 | Threshold: 0.6000
2025-02-25 03:25:35 - Arquivo: clear.0924.jpg | Prob: 0.3389 | Threshold: 0.6000
2025-02-25 03:28:47 - Arquivo: clear.0931.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-25 03:31:36 - Arquivo: clear.0937.jpg | Prob: 0.0176 | Threshold: 0.6000
2025-02-25 03:35:41 - Arquivo: clear.0946.jpg | Prob: 0.0449 | Threshold: 0.6000
2025-02-25 03:37:21 - Arquivo: clear.0950.jpg | Prob: 0.0067 | Threshold: 0.6000
2025-02-25 03:37:49 - Arquivo: clear.0951.jpg | Prob: 0.0062 | Threshold: 0.6000
2025-02-25 03:54:45 - Arquivo: clear.0990.jpeg | Prob: 0.2607 | Threshold: 0.6000
2025-02-25 03:55:05 - Arquivo: clear.0991.jpeg | Prob: 0.0178 | Threshold: 0.6000
