2025-02-23 11:41:57 - Arquivo: clear.0004.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-23 11:43:35 - Arquivo: clear.0009.jpg | Prob: 0.2266 | Threshold: 0.6000
2025-02-23 11:45:31 - Arquivo: clear.0015.jpg | Prob: 0.3376 | Threshold: 0.6000
2025-02-23 11:48:54 - Arquivo: clear.0025.jpg | Prob: 0.1549 | Threshold: 0.6000
2025-02-23 11:50:44 - Arquivo: clear.0031.jpg | Prob: 0.0732 | Threshold: 0.6000
2025-02-23 11:51:02 - Arquivo: clear.0032.jpg | Prob: 0.4073 | Threshold: 0.6000
2025-02-23 11:51:19 - Arquivo: clear.0033.jpg | Prob: 0.0697 | Threshold: 0.6000
2025-02-23 11:57:00 - Arquivo: clear.0051.jpg | Prob: 0.0029 | Threshold: 0.6000
2025-02-23 12:00:45 - Arquivo: clear.0063.jpg | Prob: 0.1517 | Threshold: 0.6000
2025-02-23 12:02:42 - Arquivo: clear.0069.jpg | Prob: 0.0134 | Threshold: 0.6000
2025-02-23 12:05:48 - Arquivo: clear.0079.jpg | Prob: 0.2144 | Threshold: 0.6000
2025-02-23 12:08:41 - Arquivo: clear.0088.jpg | Prob: 0.1072 | Threshold: 0.6000
2025-02-23 12:12:42 - Arquivo: clear.0101.jpg | Prob: 0.2818 | Threshold: 0.6000
2025-02-23 12:14:22 - Arquivo: clear.0106.jpg | Prob: 0.1304 | Threshold: 0.6000
2025-02-23 12:24:31 - Arquivo: clear.0136.jpg | Prob: 0.0100 | Threshold: 0.6000
2025-02-23 12:25:46 - Arquivo: clear.0139.jpg | Prob: 0.0422 | Threshold: 0.6000
2025-02-23 12:33:59 - Arquivo: clear.0162.jpg | Prob: 0.0148 | Threshold: 0.6000
2025-02-23 12:40:48 - Arquivo: clear.0180.jpg | Prob: 0.1217 | Threshold: 0.6000
2025-02-23 12:43:34 - Arquivo: clear.0188.jpg | Prob: 0.0337 | Threshold: 0.6000
2025-02-23 12:43:51 - Arquivo: clear.0189.jpg | Prob: 0.0349 | Threshold: 0.6000
2025-02-23 13:12:24 - Arquivo: clear.0272.jpeg | Prob: 0.0202 | Threshold: 0.6000
2025-02-23 13:49:26 - Arquivo: clear.0376.jpeg | Prob: 0.0004 | Threshold: 0.6000
2025-02-23 13:49:44 - Arquivo: clear.0377.jpeg | Prob: 0.1711 | Threshold: 0.6000
2025-02-23 13:50:23 - Arquivo: clear.0379.jpeg | Prob: 0.0840 | Threshold: 0.6000
2025-02-23 14:06:33 - Arquivo: clear.0428.jpg | Prob: 0.0474 | Threshold: 0.6000
2025-02-23 14:08:38 - Arquivo: clear.0435.jpg | Prob: 0.0064 | Threshold: 0.6000
2025-02-23 14:08:55 - Arquivo: clear.0436.jpg | Prob: 0.0039 | Threshold: 0.6000
2025-02-23 14:15:33 - Arquivo: clear.0457.jpg | Prob: 0.2826 | Threshold: 0.6000
2025-02-23 14:25:30 - Arquivo: clear.0489.jpg | Prob: 0.0243 | Threshold: 0.6000
2025-02-23 14:27:39 - Arquivo: clear.0496.jpg | Prob: 0.2086 | Threshold: 0.6000
2025-02-23 14:31:43 - Arquivo: clear.0510.jpg | Prob: 0.0022 | Threshold: 0.6000
2025-02-23 14:40:24 - Arquivo: clear.0538.jpg | Prob: 0.2785 | Threshold: 0.6000
2025-02-23 14:46:04 - Arquivo: clear.0556.jpg | Prob: 0.3633 | Threshold: 0.6000
2025-02-23 15:01:08 - Arquivo: clear.0603.jpg | Prob: 0.1617 | Threshold: 0.6000
2025-02-23 15:05:27 - Arquivo: clear.0617.jpg | Prob: 0.0027 | Threshold: 0.6000
2025-02-23 15:33:05 - Arquivo: clear.0706.jpg | Prob: 0.3723 | Threshold: 0.6000
2025-02-23 16:00:43 - Arquivo: clear.0794.jpg | Prob: 0.2237 | Threshold: 0.6000
2025-02-23 16:13:42 - Arquivo: clear.0834.jpg | Prob: 0.0214 | Threshold: 0.6000
2025-02-23 16:14:01 - Arquivo: clear.0835.jpg | Prob: 0.0309 | Threshold: 0.6000
2025-02-23 16:14:19 - Arquivo: clear.0836.jpg | Prob: 0.0171 | Threshold: 0.6000
2025-02-23 16:18:22 - Arquivo: clear.0849.jpg | Prob: 0.1586 | Threshold: 0.6000
2025-02-23 16:23:52 - Arquivo: clear.0867.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-23 16:26:42 - Arquivo: clear.0876.jpg | Prob: 0.0006 | Threshold: 0.6000
2025-02-23 16:33:49 - Arquivo: clear.0898.jpg | Prob: 0.2229 | Threshold: 0.6000
2025-02-23 16:42:41 - Arquivo: clear.0924.jpg | Prob: 0.4061 | Threshold: 0.6000
2025-02-23 16:45:22 - Arquivo: clear.0931.jpg | Prob: 0.0099 | Threshold: 0.6000
2025-02-23 16:45:41 - Arquivo: clear.0932.jpg | Prob: 0.0580 | Threshold: 0.6000
2025-02-23 16:47:25 - Arquivo: clear.0937.jpg | Prob: 0.1339 | Threshold: 0.6000
2025-02-23 16:50:24 - Arquivo: clear.0946.jpg | Prob: 0.0571 | Threshold: 0.6000
2025-02-23 16:51:56 - Arquivo: clear.0950.jpg | Prob: 0.0021 | Threshold: 0.6000
2025-02-23 16:52:14 - Arquivo: clear.0951.jpg | Prob: 0.0003 | Threshold: 0.6000
2025-02-23 17:05:23 - Arquivo: clear.0990.jpeg | Prob: 0.0541 | Threshold: 0.6000
2025-02-23 17:05:45 - Arquivo: clear.0991.jpeg | Prob: 0.0718 | Threshold: 0.6000
2025-02-23 17:07:03 - Arquivo: clear.0995.jpg | Prob: 0.1720 | Threshold: 0.6000
2025-02-23 17:10:52 - Arquivo: clear.1006.jpg | Prob: 0.0224 | Threshold: 0.6000
2025-02-23 17:14:38 - Arquivo: nonclear.0000.jpg | Prob: 0.0684 | Threshold: 0.6000
2025-02-23 17:14:57 - Arquivo: nonclear.0001.jpg | Prob: 0.0289 | Threshold: 0.6000
2025-02-23 17:15:14 - Arquivo: nonclear.0002.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:15:33 - Arquivo: nonclear.0003.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:15:52 - Arquivo: nonclear.0004.jpg | Prob: 0.2442 | Threshold: 0.6000
2025-02-23 17:16:09 - Arquivo: nonclear.0005.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:16:27 - Arquivo: nonclear.0006.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:16:48 - Arquivo: nonclear.0007.jpg | Prob: 0.0092 | Threshold: 0.6000
2025-02-23 17:17:05 - Arquivo: nonclear.0008.jpg | Prob: 0.0266 | Threshold: 0.6000
2025-02-23 17:17:27 - Arquivo: nonclear.0009.jpg | Prob: 0.0119 | Threshold: 0.6000
2025-02-23 17:17:47 - Arquivo: nonclear.0010.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-23 17:18:05 - Arquivo: nonclear.0011.jpg | Prob: 0.5994 | Threshold: 0.6000
2025-02-23 17:18:25 - Arquivo: nonclear.0012.jpg | Prob: 0.0193 | Threshold: 0.6000
2025-02-23 17:18:45 - Arquivo: nonclear.0013.jpg | Prob: 0.3886 | Threshold: 0.6000
2025-02-23 17:19:28 - Arquivo: nonclear.0014.jpg | Prob: 0.5571 | Threshold: 0.6000
2025-02-23 17:19:46 - Arquivo: nonclear.0015.jpg | Prob: 0.0024 | Threshold: 0.6000
2025-02-23 17:20:04 - Arquivo: nonclear.0016.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:20:26 - Arquivo: nonclear.0017.jpg | Prob: 0.9997 | Threshold: 0.6000
2025-02-23 17:20:42 - Arquivo: nonclear.0018.jpg | Prob: 0.0008 | Threshold: 0.6000
2025-02-23 17:21:01 - Arquivo: nonclear.0019.jpg | Prob: 0.0015 | Threshold: 0.6000
2025-02-23 17:21:21 - Arquivo: nonclear.0020.jpg | Prob: 0.9995 | Threshold: 0.6000
2025-02-23 17:21:39 - Arquivo: nonclear.0021.jpg | Prob: 0.2172 | Threshold: 0.6000
2025-02-23 17:21:57 - Arquivo: nonclear.0022.jpg | Prob: 0.1969 | Threshold: 0.6000
2025-02-23 17:22:16 - Arquivo: nonclear.0023.jpg | Prob: 0.0006 | Threshold: 0.6000
2025-02-23 17:22:38 - Arquivo: nonclear.0024.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-23 17:22:57 - Arquivo: nonclear.0025.jpg | Prob: 0.0012 | Threshold: 0.6000
2025-02-23 17:23:15 - Arquivo: nonclear.0026.jpg | Prob: 0.0013 | Threshold: 0.6000
2025-02-23 17:23:33 - Arquivo: nonclear.0027.jpg | Prob: 0.0010 | Threshold: 0.6000
2025-02-23 17:23:53 - Arquivo: nonclear.0028.jpg | Prob: 0.1177 | Threshold: 0.6000
2025-02-23 17:24:14 - Arquivo: nonclear.0029.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:24:39 - Arquivo: nonclear.0030.jpg | Prob: 0.0333 | Threshold: 0.6000
2025-02-23 17:25:01 - Arquivo: nonclear.0031.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-23 17:25:31 - Arquivo: nonclear.0032.jpg | Prob: 0.0023 | Threshold: 0.6000
2025-02-23 17:25:50 - Arquivo: nonclear.0033.jpg | Prob: 0.0019 | Threshold: 0.6000
2025-02-23 17:26:10 - Arquivo: nonclear.0034.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:26:29 - Arquivo: nonclear.0035.jpg | Prob: 0.0044 | Threshold: 0.6000
2025-02-23 17:26:49 - Arquivo: nonclear.0036.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:27:23 - Arquivo: nonclear.0037.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:27:42 - Arquivo: nonclear.0038.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:28:03 - Arquivo: nonclear.0039.jpg | Prob: 0.7019 | Threshold: 0.6000
2025-02-23 17:28:26 - Arquivo: nonclear.0040.jpg | Prob: 0.0583 | Threshold: 0.6000
2025-02-23 17:28:48 - Arquivo: nonclear.0041.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:29:11 - Arquivo: nonclear.0042.jpg | Prob: 0.0002 | Threshold: 0.6000
2025-02-23 17:29:35 - Arquivo: nonclear.0043.jpg | Prob: 0.0056 | Threshold: 0.6000
2025-02-23 17:29:57 - Arquivo: nonclear.0044.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:30:17 - Arquivo: nonclear.0045.jpg | Prob: 0.0001 | Threshold: 0.6000
2025-02-23 17:30:38 - Arquivo: nonclear.0046.jpg | Prob: 0.0006 | Threshold: 0.6000
2025-02-23 17:30:59 - Arquivo: nonclear.0047.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:31:20 - Arquivo: nonclear.0048.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:31:39 - Arquivo: nonclear.0049.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:31:58 - Arquivo: nonclear.0050.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:32:19 - Arquivo: nonclear.0051.jpg | Prob: 0.1925 | Threshold: 0.6000
2025-02-23 17:32:40 - Arquivo: nonclear.0052.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:33:02 - Arquivo: nonclear.0053.jpg | Prob: 0.2673 | Threshold: 0.6000
2025-02-23 17:33:24 - Arquivo: nonclear.0054.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:33:46 - Arquivo: nonclear.0055.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:34:07 - Arquivo: nonclear.0056.jpg | Prob: 0.1371 | Threshold: 0.6000
2025-02-23 17:34:27 - Arquivo: nonclear.0057.jpg | Prob: 0.0011 | Threshold: 0.6000
2025-02-23 17:34:53 - Arquivo: nonclear.0058.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:35:14 - Arquivo: nonclear.0059.jpg | Prob: 0.0071 | Threshold: 0.6000
2025-02-23 17:35:36 - Arquivo: nonclear.0060.jpg | Prob: 0.4848 | Threshold: 0.6000
2025-02-23 17:35:58 - Arquivo: nonclear.0061.jpg | Prob: 0.1158 | Threshold: 0.6000
2025-02-23 17:36:21 - Arquivo: nonclear.0062.jpg | Prob: 0.0003 | Threshold: 0.6000
2025-02-23 17:36:44 - Arquivo: nonclear.0063.jpg | Prob: 0.9999 | Threshold: 0.6000
2025-02-23 17:37:06 - Arquivo: nonclear.0064.jpg | Prob: 0.0000 | Threshold: 0.6000
2025-02-23 17:37:28 - Arquivo: nonclear.0065.jpg | Prob: 0.0000 | Threshold: 0.6000
