Accuracy;Precision;Recall;Specificity;F1-Score;ROC-AUC;Split_Index;Epoch;Val_Loss;Val_Accuracy;Val_F1;Val_AUC;Val_Precision;Val_Recall;Val_Specificity;TN;FP;FN;TP
0,9181;0,9175;0,9368;0,8947;0,9271;0,9814;0;1;0,5992404818534851;0,9181286692619324;;;;;;68;8;6;89
0,9357;0,9375;0,9474;0,9211;0,9424;0,985;0;2;0,5390624403953552;0,9356725215911865;;;;;;70;6;5;90
0,9298;0,9278;0,9474;0,9079;0,9375;0,985;0;3;0,5206762552261353;0,9298245906829834;;;;;;69;7;5;90
0,9357;0,9286;0,9579;0,9079;0,943;0,982;0;4;0,5148215293884277;0,9356725215911865;;;;;;69;7;4;91
0,9357;0,9375;0,9474;0,9211;0,9424;0,99;0;5;0,44184139370918274;0,9356725215911865;;;;;;70;6;5;90
0,9474;0,9479;0,9579;0,9342;0,9529;0,9898;0;6;0,4137285053730011;0,9473684430122375;;;;;;71;5;4;91
0,9474;0,9388;0,9684;0,9211;0,9534;0,9884;0;7;0,4067973494529724;0,9473684430122375;;;;;;70;6;3;92
0,924;0,91;0,9579;0,8816;0,9333;0,9871;0;8;0,38440123200416565;0,9239766001701355;;;;;;67;9;4;91
0,9474;0,9388;0,9684;0,9211;0,9534;0,9904;0;9;0,33007052540779114;0,9473684430122375;;;;;;70;6;3;92
0,9415;0,9208;0,9789;0,8947;0,949;0,9884;0;10;0,3195870518684387;0,9415204524993896;;;;;;68;8;2;93
0,9474;0,9388;0,9684;0,9211;0,9534;0,9891;0;11;0,3070918321609497;0,9473684430122375;;;;;;70;6;3;92
0,9415;0,9381;0,9579;0,9211;0,9479;0,9884;0;12;0,2995133101940155;0,9415204524993896;;;;;;70;6;4;91
0,9298;0,9192;0,9579;0,8947;0,9381;0,9889;0;13;0,2717708647251129;0,9298245906829834;;;;;;68;8;4;91
0,9474;0,9479;0,9579;0,9342;0,9529;0,9892;0;14;0,2704964876174927;0,9473684430122375;;;;;;71;5;4;91
0,9415;0,9293;0,9684;0,9079;0,9485;0,9882;0;15;0,254190057516098;0,9415204524993896;;;;;;69;7;3;92
0,9415;0,9293;0,9684;0,9079;0,9485;0,991;0;16;0,24320653080940247;0,9415204524993896;;;;;;69;7;3;92
0,924;0,9184;0,9474;0,8947;0,9326;0,9838;0;17;0,2607433795928955;0,9239766001701355;;;;;;68;8;5;90
0,9415;0,9208;0,9789;0,8947;0,949;0,9911;0;18;0,2391422986984253;0,9415204524993896;;;;;;68;8;2;93
0,9357;0,92;0,9684;0,8947;0,9436;0,987;0;19;0,26532235741615295;0,9356725215911865;;;;;;68;8;3;92
0,9357;0,92;0,9684;0,8947;0,9436;0,9889;0;20;0,2307685911655426;0,9356725215911865;;;;;;68;8;3;92
0,9474;0,93;0,9789;0,9079;0,9538;0,9898;0;21;0,2373020350933075;0,9473684430122375;;;;;;69;7;2;93
0,9298;0,9109;0,9684;0,8816;0,9388;0,9892;0;22;0,22423776984214783;0,9298245906829834;;;;;;67;9;3;92
0,9415;0,9381;0,9579;0,9211;0,9479;0,9914;0;23;0,21480225026607513;0,9415204524993896;;;;;;70;6;4;91
0,9474;0,9388;0,9684;0,9211;0,9534;0,9867;0;24;0,23013252019882202;0,9473684430122375;;;;;;70;6;3;92
0,9415;0,9293;0,9684;0,9079;0,9485;0,9871;0;25;0,21783146262168884;0,9415204524993896;;;;;;69;7;3;92
0,9357;0,92;0,9684;0,8947;0,9436;0,9856;0;26;0,2221713662147522;0,9356725215911865;;;;;;68;8;3;92
0,9415;0,9208;0,9789;0,8947;0,949;0,9856;0;27;0,2465711385011673;0,9415204524993896;;;;;;68;8;2;93
0,9415;0,9208;0,9789;0,8947;0,949;0,9874;0;28;0,22599057853221893;0,9415204524993896;;;;;;68;8;2;93
0,924;0,9271;0,9368;0,9079;0,9319;0,9771;1;1;0,6071227192878723;0,9239766001701355;;;;;;69;7;6;89
0,9181;0,9263;0,9263;0,9079;0,9263;0,9767;1;2;0,5817140936851501;0,9181286692619324;;;;;;69;7;7;88
0,9181;0,9175;0,9368;0,8947;0,9271;0,9717;1;3;0,5875334143638611;0,9181286692619324;;;;;;68;8;6;89
0,9123;0,9255;0,9158;0,9079;0,9206;0,9717;1;4;0,5683490633964539;0,9122806787490845;;;;;;69;7;8;87
0,924;0,9362;0,9263;0,9211;0,9312;0,9695;1;5;0,5504482388496399;0,9239766001701355;;;;;;70;6;7;88
0,9123;0,9082;0,9368;0,8816;0,9223;0,9716;1;6;0,5250467658042908;0,9122806787490845;;;;;;67;9;6;89
0,9181;0,9175;0,9368;0,8947;0,9271;0,9666;1;7;0,5275290608406067;0,9181286692619324;;;;;;68;8;6;89
0,9006;0,9062;0,9158;0,8816;0,911;0,9675;1;8;0,48559093475341797;0,9005848169326782;;;;;;67;9;8;87
0,9181;0,9355;0,9158;0,9211;0,9255;0,9663;1;9;0,4679889380931854;0,9181286692619324;;;;;;70;6;8;87
0,9123;0,9167;0,9263;0,8947;0,9215;0,9639;1;10;0,46087878942489624;0,9122806787490845;;;;;;68;8;7;88
0,9298;0,9278;0,9474;0,9079;0,9375;0,9734;1;11;0,3949945569038391;0,9298245906829834;;;;;;69;7;5;90
0,9181;0,9175;0,9368;0,8947;0,9271;0,9666;1;12;0,441247820854187;0,9181286692619324;;;;;;68;8;6;89
0,8947;0,8969;0,9158;0,8684;0,9062;0,9612;1;13;0,4421256482601166;0,8947368264198303;;;;;;66;10;8;87
0,9123;0,9082;0,9368;0,8816;0,9223;0,9686;1;14;0,3942745327949524;0,9122806787490845;;;;;;67;9;6;89
0,9064;0,899;0,9368;0,8684;0,9175;0,9641;1;15;0,4189203381538391;0,9064327478408813;;;;;;66;10;6;89
0,9123;0,9255;0,9158;0,9079;0,9206;0,9704;1;16;0,37237364053726196;0,9122806787490845;;;;;;69;7;8;87
0,9123;0,9082;0,9368;0,8816;0,9223;0,9637;1;17;0,4202655851840973;0,9122806787490845;;;;;;67;9;6;89
0,9064;0,9072;0,9263;0,8816;0,9167;0,9669;1;18;0,3754211664199829;0,9064327478408813;;;;;;67;9;7;88
0,883;0,8866;0,9053;0,8553;0,8958;0,959;1;19;0,41727760434150696;0,8830409646034241;;;;;;65;11;9;86
0,8947;0,8969;0,9158;0,8684;0,9062;0,9651;1;20;0,36775559186935425;0,8947368264198303;;;;;;66;10;8;87
0,9006;0,9062;0,9158;0,8816;0,911;0,9634;1;21;0,38626644015312195;0,9005848169326782;;;;;;67;9;8;87
