Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,TN,FP,FN,TP
0.924,0.9271,0.9368,0.9079,0.9319,0.9771,1,1,0.6071227192878723,0.9239766001701355,,,,,,69,7,6,89
0.9181,0.9263,0.9263,0.9079,0.9263,0.9767,1,2,0.5817140936851501,0.9181286692619324,,,,,,69,7,7,88
0.9181,0.9175,0.9368,0.8947,0.9271,0.9717,1,3,0.5875334143638611,0.9181286692619324,,,,,,68,8,6,89
0.9123,0.9255,0.9158,0.9079,0.9206,0.9717,1,4,0.5683490633964539,0.9122806787490845,,,,,,69,7,8,87
0.924,0.9362,0.9263,0.9211,0.9312,0.9695,1,5,0.5504482388496399,0.9239766001701355,,,,,,70,6,7,88
0.9123,0.9082,0.9368,0.8816,0.9223,0.9716,1,6,0.5250467658042908,0.9122806787490845,,,,,,67,9,6,89
0.9181,0.9175,0.9368,0.8947,0.9271,0.9666,1,7,0.5275290608406067,0.9181286692619324,,,,,,68,8,6,89
0.9006,0.9062,0.9158,0.8816,0.911,0.9675,1,8,0.48559093475341797,0.9005848169326782,,,,,,67,9,8,87
0.9181,0.9355,0.9158,0.9211,0.9255,0.9663,1,9,0.4679889380931854,0.9181286692619324,,,,,,70,6,8,87
0.9123,0.9167,0.9263,0.8947,0.9215,0.9639,1,10,0.46087878942489624,0.9122806787490845,,,,,,68,8,7,88
0.9298,0.9278,0.9474,0.9079,0.9375,0.9734,1,11,0.3949945569038391,0.9298245906829834,,,,,,69,7,5,90
0.9181,0.9175,0.9368,0.8947,0.9271,0.9666,1,12,0.441247820854187,0.9181286692619324,,,,,,68,8,6,89
0.8947,0.8969,0.9158,0.8684,0.9062,0.9612,1,13,0.4421256482601166,0.8947368264198303,,,,,,66,10,8,87
0.9123,0.9082,0.9368,0.8816,0.9223,0.9686,1,14,0.3942745327949524,0.9122806787490845,,,,,,67,9,6,89
0.9064,0.899,0.9368,0.8684,0.9175,0.9641,1,15,0.4189203381538391,0.9064327478408813,,,,,,66,10,6,89
0.9123,0.9255,0.9158,0.9079,0.9206,0.9704,1,16,0.37237364053726196,0.9122806787490845,,,,,,69,7,8,87
0.9123,0.9082,0.9368,0.8816,0.9223,0.9637,1,17,0.4202655851840973,0.9122806787490845,,,,,,67,9,6,89
0.9064,0.9072,0.9263,0.8816,0.9167,0.9669,1,18,0.3754211664199829,0.9064327478408813,,,,,,67,9,7,88
0.883,0.8866,0.9053,0.8553,0.8958,0.959,1,19,0.41727760434150696,0.8830409646034241,,,,,,65,11,9,86
0.8947,0.8969,0.9158,0.8684,0.9062,0.9651,1,20,0.36775559186935425,0.8947368264198303,,,,,,66,10,8,87
0.9006,0.9062,0.9158,0.8816,0.911,0.9634,1,21,0.38626644015312195,0.9005848169326782,,,,,,67,9,8,87
0.9064,0.899,0.9368,0.8684,0.9175,0.9612,1,22,0.4193808436393738,0.9064327478408813,,,,,,66,10,6,89
0.8889,0.8958,0.9053,0.8684,0.9005,0.9604,1,23,0.40229377150535583,0.8888888955116272,,,,,,66,10,9,86
0.9006,0.898,0.9263,0.8684,0.9119,0.9684,1,24,0.3644179403781891,0.9005848169326782,,,,,,66,10,7,88
0.9006,0.898,0.9263,0.8684,0.9119,0.9657,1,25,0.4033299386501312,0.9005848169326782,,,,,,66,10,7,88
0.9064,0.9072,0.9263,0.8816,0.9167,0.9665,1,26,0.37948742508888245,0.9064327478408813,,,,,,67,9,7,88
0.9064,0.9072,0.9263,0.8816,0.9167,0.9602,1,27,0.423313170671463,0.9064327478408813,,,,,,67,9,7,88
0.9064,0.899,0.9368,0.8684,0.9175,0.9616,1,28,0.41206690669059753,0.9064327478408813,,,,,,66,10,6,89
0.9006,0.9062,0.9158,0.8816,0.911,0.9589,1,29,0.45134562253952026,0.9005848169326782,,,,,,67,9,8,87
