Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,TN,FP,FN,TP
0.9064,0.9247,0.9053,0.9079,0.9149,0.9719,6,1,0.6574941277503967,0.9064327478408813,,,,,,69,7,9,86
0.8713,0.9867,0.7789,0.9868,0.8706,0.9791,6,2,0.6649884581565857,0.871345043182373,,,,,,75,1,21,74
0.924,0.91,0.9579,0.8816,0.9333,0.9867,6,3,0.5018280744552612,0.9239766001701355,,,,,,67,9,4,91
0.924,0.8942,0.9789,0.8553,0.9347,0.9891,6,4,0.47449594736099243,0.9239766001701355,,,,,,65,11,2,93
0.9532,0.9677,0.9474,0.9605,0.9574,0.9904,6,5,0.42259594798088074,0.9532163739204407,,,,,,73,3,5,90
0.9649,0.989,0.9474,0.9868,0.9677,0.9917,6,6,0.3980999290943146,0.9649122953414917,,,,,,75,1,5,90
0.9532,0.9579,0.9579,0.9474,0.9579,0.9924,6,7,0.3634449243545532,0.9532163739204407,,,,,,72,4,4,91
0.9532,0.9677,0.9474,0.9605,0.9574,0.9922,6,8,0.3576744496822357,0.9532163739204407,,,,,,73,3,5,90
0.924,0.8868,0.9895,0.8421,0.9353,0.9913,6,9,0.38786906003952026,0.9239766001701355,,,,,,64,12,1,94
0.9591,0.9783,0.9474,0.9737,0.9626,0.9931,6,10,0.32310160994529724,0.9590643048286438,,,,,,74,2,5,90
0.9591,0.9783,0.9474,0.9737,0.9626,0.9932,6,11,0.3039068579673767,0.9590643048286438,,,,,,74,2,5,90
0.9415,0.9474,0.9474,0.9342,0.9474,0.9934,6,12,0.2873421013355255,0.9415204524993896,,,,,,71,5,5,90
0.9532,0.9677,0.9474,0.9605,0.9574,0.992,6,13,0.2871817350387573,0.9532163739204407,,,,,,73,3,5,90
0.9357,0.9118,0.9789,0.8816,0.9442,0.991,6,14,0.2880268394947052,0.9356725215911865,,,,,,67,9,2,93
0.9357,0.9375,0.9474,0.9211,0.9424,0.9917,6,15,0.2686395049095154,0.9356725215911865,,,,,,70,6,5,90
0.9298,0.9109,0.9684,0.8816,0.9388,0.9914,6,16,0.26945817470550537,0.9298245906829834,,,,,,67,9,3,92
0.9474,0.9479,0.9579,0.9342,0.9529,0.9916,6,17,0.2533676326274872,0.9473684430122375,,,,,,71,5,4,91
0.8538,1.0,0.7368,1.0,0.8485,0.9911,6,18,0.44847017526626587,0.8538011908531189,,,,,,76,0,25,70
0.9357,0.92,0.9684,0.8947,0.9436,0.9927,6,19,0.23868682980537415,0.9356725215911865,,,,,,68,8,3,92
0.9123,0.9878,0.8526,0.9868,0.9153,0.9921,6,20,0.3009970486164093,0.9122806787490845,,,,,,75,1,14,81
0.9474,0.9388,0.9684,0.9211,0.9534,0.9934,6,21,0.21901248395442963,0.9473684430122375,,,,,,70,6,3,92
0.9357,0.9118,0.9789,0.8816,0.9442,0.9928,6,22,0.23353469371795654,0.9356725215911865,,,,,,67,9,2,93
0.8713,0.9867,0.7789,0.9868,0.8706,0.9914,6,23,0.39773422479629517,0.871345043182373,,,,,,75,1,21,74
0.9064,0.8559,1.0,0.7895,0.9223,0.991,6,24,0.4077051281929016,0.9064327478408813,,,,,,60,16,0,95
0.9357,0.9286,0.9579,0.9079,0.943,0.9925,6,25,0.2114051878452301,0.9356725215911865,,,,,,69,7,4,91
0.9474,0.9388,0.9684,0.9211,0.9534,0.9911,6,26,0.21888695657253265,0.9473684430122375,,,,,,70,6,3,92
0.9415,0.967,0.9263,0.9605,0.9462,0.9922,6,27,0.21070745587348938,0.9415204524993896,,,,,,73,3,7,88
0.9357,0.92,0.9684,0.8947,0.9436,0.9922,6,28,0.21606208384037018,0.9356725215911865,,,,,,68,8,3,92
0.9415,0.957,0.9368,0.9474,0.9468,0.9925,6,29,0.20771341025829315,0.9415204524993896,,,,,,72,4,6,89
0.9532,0.9394,0.9789,0.9211,0.9588,0.9924,6,30,0.19958795607089996,0.9532163739204407,,,,,,70,6,2,93
0.9532,0.9485,0.9684,0.9342,0.9583,0.9917,6,31,0.1977701038122177,0.9532163739204407,,,,,,71,5,3,92
0.9357,0.9375,0.9474,0.9211,0.9424,0.9924,6,32,0.19659580290317535,0.9356725215911865,,,,,,70,6,5,90
0.9123,1.0,0.8421,1.0,0.9143,0.9917,6,33,0.30628761649131775,0.9122806787490845,,,,,,76,0,15,80
0.9064,1.0,0.8316,1.0,0.908,0.9916,6,34,0.3362649977207184,0.9064327478408813,,,,,,76,0,16,79
0.9357,0.9118,0.9789,0.8816,0.9442,0.9914,6,35,0.20173753798007965,0.9356725215911865,,,,,,67,9,2,93
