ExtractionMethod;Reduction;Classification;Metodo;Fold;Components;ACC2;ACC
Xception;PCA;J48;Xception_PCA_300_J48;1;300;74,2857;0,7429
Xception;PCA;J48;Xception_PCA_300_J48;2;300;77,1429;0,7714
Xception;PCA;J48;Xception_PCA_300_J48;3;300;52,9412;0,5294
Xception;PCA;J48;Xception_PCA_300_J48;4;300;58,8235;0,5882
Xception;PCA;J48;Xception_PCA_300_J48;5;300;55,8824;0,5588
Xception;PCA;J48;Xception_PCA_300_J48;6;300;58,8235;0,5882
Xception;PCA;J48;Xception_PCA_300_J48;7;300;50;0,5
Xception;PCA;J48;Xception_PCA_300_J48;8;300;64,7059;0,6471
Xception;PCA;J48;Xception_PCA_300_J48;9;300;61,7647;0,6176
Xception;PCA;J48;Xception_PCA_300_J48;10;300;55,8824;0,5588
Xception;PCA;RBF;Xception_PCA_300_RBF;1;300;77,1429;0,7714
Xception;PCA;RBF;Xception_PCA_300_RBF;2;300;85,7143;0,8571
Xception;PCA;RBF;Xception_PCA_300_RBF;3;300;91,1765;0,9118
Xception;PCA;RBF;Xception_PCA_300_RBF;4;300;82,3529;0,8235
Xception;PCA;RBF;Xception_PCA_300_RBF;5;300;85,2941;0,8529
Xception;PCA;RBF;Xception_PCA_300_RBF;6;300;91,1765;0,9118
Xception;PCA;RBF;Xception_PCA_300_RBF;7;300;85,2941;0,8529
Xception;PCA;RBF;Xception_PCA_300_RBF;8;300;88,2353;0,8824
Xception;PCA;RBF;Xception_PCA_300_RBF;9;300;91,1765;0,9118
Xception;PCA;RBF;Xception_PCA_300_RBF;10;300;85,2941;0,8529
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;1;300;85,7143;0,8571
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;2;300;85,7143;0,8571
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;3;300;82,3529;0,8235
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;4;300;91,1765;0,9118
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;5;300;88,2353;0,8824
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;6;300;88,2353;0,8824
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;7;300;85,2941;0,8529
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;8;300;97,0588;0,9706
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;9;300;85,2941;0,8529
Xception;PCA;LinearSVM;Xception_PCA_300_LinearSVM;10;300;85,2941;0,8529
Xception;PCA;MLP;Xception_PCA_300_MLP;1;300;68,5714;0,6857
Xception;PCA;MLP;Xception_PCA_300_MLP;2;300;42,8571;0,4286
Xception;PCA;MLP;Xception_PCA_300_MLP;3;300;61,7647;0,6176
Xception;PCA;MLP;Xception_PCA_300_MLP;4;300;47,0588;0,4706
Xception;PCA;MLP;Xception_PCA_300_MLP;5;300;47,0588;0,4706
Xception;PCA;MLP;Xception_PCA_300_MLP;6;300;64,7059;0,6471
Xception;PCA;MLP;Xception_PCA_300_MLP;7;300;61,7647;0,6176
Xception;PCA;MLP;Xception_PCA_300_MLP;8;300;61,7647;0,6176
Xception;PCA;MLP;Xception_PCA_300_MLP;9;300;64,7059;0,6471
Xception;PCA;MLP;Xception_PCA_300_MLP;10;300;82,3529;0,8235
Xception;PCA;Logistic;Xception_PCA_300_Logistic;1;300;85,7143;0,8571
Xception;PCA;Logistic;Xception_PCA_300_Logistic;2;300;85,7143;0,8571
Xception;PCA;Logistic;Xception_PCA_300_Logistic;3;300;88,2353;0,8824
Xception;PCA;Logistic;Xception_PCA_300_Logistic;4;300;91,1765;0,9118
Xception;PCA;Logistic;Xception_PCA_300_Logistic;5;300;88,2353;0,8824
Xception;PCA;Logistic;Xception_PCA_300_Logistic;6;300;94,1176;0,9412
Xception;PCA;Logistic;Xception_PCA_300_Logistic;7;300;88,2353;0,8824
Xception;PCA;Logistic;Xception_PCA_300_Logistic;8;300;94,1176;0,9412
Xception;PCA;Logistic;Xception_PCA_300_Logistic;9;300;85,2941;0,8529
Xception;PCA;Logistic;Xception_PCA_300_Logistic;10;300;88,2353;0,8824
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;1;300;68,5714;0,6857
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;2;300;88,5714;0,8857
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;3;300;73,5294;0,7353
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;4;300;73,5294;0,7353
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;5;300;91,1765;0,9118
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;6;300;73,5294;0,7353
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;7;300;67,6471;0,6765
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;8;300;82,3529;0,8235
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;9;300;76,4706;0,7647
Xception;PCA;RandomForest;Xception_PCA_300_RandomForest;10;300;70,5882;0,7059
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;1;300;74,2857;0,7429
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;2;300;74,2857;0,7429
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;3;300;70,5882;0,7059
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;4;300;76,4706;0,7647
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;5;300;91,1765;0,9118
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;6;300;76,4706;0,7647
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;7;300;79,4118;0,7941
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;8;300;88,2353;0,8824
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;9;300;73,5294;0,7353
Xception;PCA;Adaboost;Xception_PCA_300_Adaboost;10;300;70,5882;0,7059
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;1;300;62,8571;0,6286
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;2;300;77,1429;0,7714
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;3;300;70,5882;0,7059
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;4;300;67,6471;0,6765
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;5;300;70,5882;0,7059
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;6;300;67,6471;0,6765
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;7;300;70,5882;0,7059
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;8;300;70,5882;0,7059
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;9;300;73,5294;0,7353
Xception;PCA;Gaussian;Xception_PCA_300_Gaussian;10;300;61,7647;0,6176
Xception;UMAP;J48;Xception_UMAP_300_J48;1;300;74,2857;0,7429
Xception;UMAP;J48;Xception_UMAP_300_J48;2;300;77,1429;0,7714
Xception;UMAP;J48;Xception_UMAP_300_J48;3;300;79,4118;0,7941
Xception;UMAP;J48;Xception_UMAP_300_J48;4;300;70,5882;0,7059
Xception;UMAP;J48;Xception_UMAP_300_J48;5;300;70,5882;0,7059
Xception;UMAP;J48;Xception_UMAP_300_J48;6;300;76,4706;0,7647
Xception;UMAP;J48;Xception_UMAP_300_J48;7;300;82,3529;0,8235
Xception;UMAP;J48;Xception_UMAP_300_J48;8;300;76,4706;0,7647
Xception;UMAP;J48;Xception_UMAP_300_J48;9;300;64,7059;0,6471
Xception;UMAP;J48;Xception_UMAP_300_J48;10;300;79,4118;0,7941
Xception;UMAP;RBF;Xception_UMAP_300_RBF;1;300;48,5714;0,4857
Xception;UMAP;RBF;Xception_UMAP_300_RBF;2;300;40;0,4
Xception;UMAP;RBF;Xception_UMAP_300_RBF;3;300;64,7059;0,6471
Xception;UMAP;RBF;Xception_UMAP_300_RBF;4;300;67,6471;0,6765
Xception;UMAP;RBF;Xception_UMAP_300_RBF;5;300;64,7059;0,6471
Xception;UMAP;RBF;Xception_UMAP_300_RBF;6;300;76,4706;0,7647
Xception;UMAP;RBF;Xception_UMAP_300_RBF;7;300;70,5882;0,7059
